Plot Title: Sonde 2016_1,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349968, SEN S/N: 10349968)","Intensity, Lux (LGR S/N: 10349968, SEN S/N: 10349968)",Coupler Attached (LGR S/N: 10349968),Host Connected (LGR S/N: 10349968),Coupler Detached (LGR S/N: 10349968),Stopped (LGR S/N: 10349968),End Of File (LGR S/N: 10349968)
1,5/27/16 19:00,21.855,549,,,,,
2,5/27/16 19:30,21.282,505.9,,,,,
3,5/27/16 20:00,21.473,366,,,,,
4,5/27/16 20:30,21.378,215.3,,,,,
5,5/27/16 21:00,21.282,150.7,,,,,
6,5/27/16 21:30,21.091,86.1,,,,,
7,5/27/16 22:00,20.996,64.6,,,,,
8,5/27/16 22:30,20.901,43.1,,,,,
9,5/27/16 23:00,20.901,21.5,,,,,
10,5/27/16 23:30,20.805,10.8,,,,,
11,5/28/16 0:00,20.71,0,,,,,
12,5/28/16 0:30,20.71,0,,,,,
13,5/28/16 1:00,20.71,0,,,,,
14,5/28/16 1:30,20.71,0,,,,,
15,5/28/16 2:00,20.71,0,,,,,
16,5/28/16 2:30,20.71,10.8,,,,,
17,5/28/16 3:00,20.71,32.3,,,,,
18,5/28/16 3:30,20.805,312.2,,,,,
19,5/28/16 4:00,21.282,1044.1,,,,,
20,5/28/16 4:30,21.664,742.7,,,,,
21,5/28/16 5:00,22.238,1894.5,,,,,
22,5/28/16 5:30,22.908,2497.2,,,,,
23,5/28/16 6:00,24.062,3961.1,,,,,
24,5/28/16 6:30,29.853,19977.9,,,,,
25,5/28/16 7:00,35.542,27555.7,,,,,
26,5/28/16 7:30,32.086,14466.8,,,,,
27,5/28/16 8:00,28.555,5338.9,,,,,
28,5/28/16 8:30,33.118,28933.5,,,,,
29,5/28/16 9:00,38.938,34444.7,,,,,
30,5/28/16 9:30,33.953,1377.8,,,,,
31,5/28/16 9:33,,,Logged,Logged,,,
32,5/28/16 9:33,,,,,Logged,,
33,5/28/16 10:00,28.456,7577.8,,,,,
34,5/28/16 10:30,26.879,7233.4,,,,,
35,5/28/16 11:00,10.357,107.6,,,,,
36,5/28/16 11:30,9.866,118.4,,,,,
37,5/28/16 12:00,9.571,139.9,,,,,
38,5/28/16 12:30,10.651,172.2,,,,,
39,5/28/16 13:00,10.748,193.8,,,,,
40,5/28/16 13:30,12.69,215.3,,,,,
41,5/28/16 14:00,12.11,258.3,,,,,
42,5/28/16 14:30,11.819,333.7,,,,,
43,5/28/16 15:00,11.916,6200,,,,,
44,5/28/16 15:30,12.013,699.7,,,,,
45,5/28/16 16:00,18.14,1119.5,,,,,
46,5/28/16 16:30,12.98,742.7,,,,,
47,5/28/16 17:00,12.304,613.5,,,,,
48,5/28/16 17:30,12.401,581.3,,,,,
49,5/28/16 18:00,12.594,538.2,,,,,
50,5/28/16 18:30,12.497,484.4,,,,,
51,5/28/16 19:00,12.497,430.6,,,,,
52,5/28/16 19:30,12.497,398.3,,,,,
53,5/28/16 20:00,12.304,387.5,,,,,
54,5/28/16 20:30,12.11,366,,,,,
55,5/28/16 21:00,11.916,355.2,,,,,
56,5/28/16 21:30,11.625,269.1,,,,,
57,5/28/16 22:00,11.236,204.5,,,,,
58,5/28/16 22:30,10.748,118.4,,,,,
59,5/28/16 23:00,10.161,43.1,,,,,
60,5/28/16 23:30,9.373,10.8,,,,,
61,5/29/16 0:00,8.978,0,,,,,
62,5/29/16 0:30,8.879,0,,,,,
63,5/29/16 1:00,8.481,0,,,,,
64,5/29/16 1:30,8.182,0,,,,,
65,5/29/16 2:00,7.882,0,,,,,
66,5/29/16 2:30,7.582,0,,,,,
67,5/29/16 3:00,7.179,10.8,,,,,
68,5/29/16 3:30,6.978,10.8,,,,,
69,5/29/16 4:00,6.877,21.5,,,,,
70,5/29/16 4:30,6.775,32.3,,,,,
71,5/29/16 5:00,6.674,53.8,,,,,
72,5/29/16 5:30,6.674,75.3,,,,,
73,5/29/16 6:00,6.775,64.6,,,,,
74,5/29/16 6:30,6.877,107.6,,,,,
75,5/29/16 7:00,6.978,107.6,,,,,
76,5/29/16 7:30,7.179,75.3,,,,,
77,5/29/16 8:00,7.28,96.9,,,,,
78,5/29/16 8:30,7.381,193.8,,,,,
79,5/29/16 9:00,7.682,204.5,,,,,
80,5/29/16 9:30,7.882,150.7,,,,,
81,5/29/16 10:00,12.11,828.8,,,,,
82,5/29/16 10:30,13.365,115734.1,,,,,
83,5/29/16 11:00,19.472,71644.9,,,,,
84,5/29/16 11:30,17.57,23422.4,,,,,
85,5/29/16 12:00,14.038,8266.7,,,,,
86,5/29/16 12:30,37.165,154312.1,,,,,
87,5/29/16 13:00,28.555,154312.1,,,,,
88,5/29/16 13:30,28.555,148801,,,,,
89,5/29/16 14:00,38.379,143289.8,,,,,
90,5/29/16 14:30,28.853,49600.3,,,,,
91,5/29/16 15:00,18.806,110223,,,,,
92,5/29/16 15:30,16.523,110223,,,,,
93,5/29/16 16:00,14.996,143289.8,,,,,
94,5/29/16 16:30,15.187,88178.4,,,,,
95,5/29/16 17:00,16.237,66133.8,,,,,
96,5/29/16 17:30,19.092,82667.2,,,,,
97,5/29/16 18:00,19.853,14466.8,,,,,
98,5/29/16 18:30,13.173,10333.4,,,,,
99,5/29/16 19:00,14.9,19977.9,,,,,
100,5/29/16 19:30,16.999,38578,,,,,
101,5/29/16 20:00,11.431,13089,,,,,
102,5/29/16 20:30,8.581,8611.2,,,,,
103,5/29/16 21:00,7.179,5166.7,,,,,
104,5/29/16 21:30,6.268,3100,,,,,
105,5/29/16 22:00,6.064,1377.8,,,,,
106,5/29/16 22:30,6.268,1227.1,,,,,
107,5/29/16 23:00,6.166,635.1,,,,,
108,5/29/16 23:30,6.064,247.6,,,,,
109,5/30/16 0:00,5.655,96.9,,,,,
110,5/30/16 0:30,5.45,53.8,,,,,
111,5/30/16 1:00,5.244,53.8,,,,,
112,5/30/16 1:30,5.244,32.3,,,,,
113,5/30/16 2:00,5.037,96.9,,,,,
114,5/30/16 2:30,4.934,118.4,,,,,
115,5/30/16 3:00,5.141,247.6,,,,,
116,5/30/16 3:30,5.347,807.3,,,,,
117,5/30/16 4:00,5.45,527.4,,,,,
118,5/30/16 4:30,5.86,2066.7,,,,,
119,5/30/16 5:00,6.064,4994.5,,,,,
120,5/30/16 5:30,6.471,6200,,,,,
121,5/30/16 6:00,7.179,8266.7,,,,,
122,5/30/16 6:30,7.882,10333.4,,,,,
123,5/30/16 7:00,8.68,16533.4,,,,,
124,5/30/16 7:30,10.455,28933.5,,,,,
125,5/30/16 8:00,13.75,46844.8,,,,,
126,5/30/16 8:30,16.618,82667.2,,,,,
127,5/30/16 9:00,22.238,77156.1,,,,,
128,5/30/16 9:30,18.236,55111.5,,,,,
129,5/30/16 10:00,20.234,63378.2,,,,,
130,5/30/16 10:30,26.977,99200.7,,,,,
131,5/30/16 11:00,28.357,99200.7,,,,,
132,5/30/16 11:30,25.902,63378.2,,,,,
133,5/30/16 12:00,15.951,57867,,,,,
134,5/30/16 12:30,22.046,154312.1,,,,,
135,5/30/16 13:00,17.189,52355.9,,,,,
136,5/30/16 13:30,18.996,60622.6,,,,,
137,5/30/16 14:00,17.475,55111.5,,,,,
138,5/30/16 14:30,14.038,34444.7,,,,,
139,5/30/16 15:00,10.944,11711.2,,,,,
140,5/30/16 15:30,11.916,49600.3,,,,,
141,5/30/16 16:00,12.401,22044.6,,,,,
142,5/30/16 16:30,11.431,30311.3,,,,,
143,5/30/16 17:00,12.11,44089.2,,,,,
144,5/30/16 17:30,9.965,20666.8,,,,,
145,5/30/16 18:00,8.581,11711.2,,,,,
146,5/30/16 18:30,8.182,15155.7,,,,,
147,5/30/16 19:00,7.882,17911.2,,,,,
148,5/30/16 19:30,8.481,23422.4,,,,,
149,5/30/16 20:00,7.481,6200,,,,,
150,5/30/16 20:30,7.782,9300.1,,,,,
151,5/30/16 21:00,7.782,6200,,,,,
152,5/30/16 21:30,7.582,3616.7,,,,,
153,5/30/16 22:00,6.978,1722.2,,,,,
154,5/30/16 22:30,7.28,1636.1,,,,,
155,5/30/16 23:00,6.471,1033.3,,,,,
156,5/30/16 23:30,6.37,581.3,,,,,
157,5/31/16 0:00,6.166,236.8,,,,,
