Plot Title: SONDE_31May19							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349965, SEN S/N: 10349965, LBL: temp)"	"Intensity, Lux (LGR S/N: 10349965, SEN S/N: 10349965, LBL: light)"	Coupler Attached (LGR S/N: 10349965)	Host Connected (LGR S/N: 10349965)	Stopped (LGR S/N: 10349965)	End Of File (LGR S/N: 10349965)
1	5/31/2019 10:00	26.097	0				
2	5/31/2019 10:30	25.416	0				
3	5/31/2019 11:00	21.187	3961.1				
4	5/31/2019 11:30	7.381	6200				
5	5/31/2019 12:00	7.381	12400.1				
6	5/31/2019 12:30	14.613	7233.4				
7	5/31/2019 13:00	18.616	60622.6				
8	5/31/2019 13:30	18.14	242490.5				
9	5/31/2019 14:00	18.331	242490.5				
10	5/31/2019 14:30	13.269	68889.3				
11	5/31/2019 15:00	13.558	63378.2				
12	5/31/2019 15:30	11.236	66133.8				
13	5/31/2019 16:00	12.401	85422.8				
14	5/31/2019 16:30	13.846	115734.1				
15	5/31/2019 17:00	14.038	88178.4				
16	5/31/2019 17:30	13.076	31689.1				
17	5/31/2019 18:00	10.553	33066.9				
18	5/31/2019 18:30	7.782	33066.9				
19	5/31/2019 19:00	5.037	12400.1				
20	5/31/2019 19:30	4.102	7577.8				
21	5/31/2019 20:00	4.415	16533.4				
22	5/31/2019 20:30	3.788	9644.5				
23	5/31/2019 21:00	3.578	7577.8				
24	5/31/2019 21:30	3.261	4994.5				
25	5/31/2019 22:00	2.624	3961.1				
26	5/31/2019 22:30	2.303	2238.9				
27	5/31/2019 23:00	1.33	1377.8				
28	5/31/2019 23:30	1.112	656.6				
29	6/1/2019 0:00	1.003	366				
30	6/1/2019 0:30	0.674	215.3				
31	6/1/2019 1:00	0.674	129.2				
32	6/1/2019 1:30	0.893	118.4				
33	6/1/2019 2:00	0.784	172.2				
34	6/1/2019 2:30	0.563	269.1				
35	6/1/2019 3:00	0.784	473.6				
36	6/1/2019 3:30	0.784	850.4				
37	6/1/2019 4:00	0.674	1550				
38	6/1/2019 4:30	0.453	2238.9				
39	6/1/2019 5:00	0.453	3788.9				
40	6/1/2019 5:30	1.003	5166.7				
41	6/1/2019 6:00	1.33	8266.7				
42	6/1/2019 6:30	1.764	10677.8				
43	6/1/2019 7:00	2.088	10677.8				
44	6/1/2019 7:30	2.517	13777.9				
45	6/1/2019 8:00	2.195	14466.8				
46	6/1/2019 8:30	2.41	16533.4				
47	6/1/2019 9:00	3.367	28933.5				
48	6/1/2019 9:30	3.578	30311.3				
49	6/1/2019 10:00	3.998	33066.9				
50	6/1/2019 10:30	4.311	44089.2				
51	6/1/2019 11:00	5.347	49600.3				
52	6/1/2019 11:30	5.037	46844.8				
53	6/1/2019 12:00	4.934	46844.8				
54	6/1/2019 12:30	5.655	49600.3				
55	6/1/2019 13:00	5.962	46844.8				
56	6/1/2019 13:30	5.962	39955.8				
57	6/1/2019 14:00	5.552	41333.6				
58	6/1/2019 14:30	4.623	28933.5				
59	6/1/2019 15:00	5.037	31689.1				
60	6/1/2019 15:30	5.45	33066.9				
61	6/1/2019 16:00	5.552	30311.3				
62	6/1/2019 16:30	4.519	19289				
63	6/1/2019 17:00	4.102	15844.5				
64	6/1/2019 17:30	3.893	16533.4				
