Plot Title: miniDOT-Pelagic-St33							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349969, SEN S/N: 10349969)"	"Intensity, Lux (LGR S/N: 10349969, SEN S/N: 10349969)"	Coupler Attached (LGR S/N: 10349969)	Host Connected (LGR S/N: 10349969)	Stopped (LGR S/N: 10349969)	End Of File (LGR S/N: 10349969)
1	6/13/2018 7:00	19.472	118.4				
2	6/13/2018 7:30	19.282	2411.1				
3	6/13/2018 8:00	13.558	3961.1				
4	6/13/2018 8:30	11.722	1550				
5	6/13/2018 9:00	11.431	2411.1				
6	6/13/2018 9:30	11.916	4305.6				
7	6/13/2018 10:00	12.304	16533.4				
8	6/13/2018 10:30	11.334	6200				
9	6/13/2018 11:00	10.357	2325				
10	6/13/2018 11:30	12.207	18600.1				
11	6/13/2018 12:00	13.461	63378.2				
12	6/13/2018 12:30	15.282	12400.1				
13	6/13/2018 13:00	15.282	6544.5				
14	6/13/2018 13:30	15.187	7233.4				
15	6/13/2018 14:00	15.187	7233.4				
16	6/13/2018 14:30	15.282	12400.1				
17	6/13/2018 15:00	15.473	17911.2				
18	6/13/2018 15:30	15.282	7233.4				
19	6/13/2018 16:00	15.091	5166.7				
20	6/13/2018 16:30	15.187	5511.1				
21	6/13/2018 17:00	15.091	4994.5				
22	6/13/2018 17:30	14.996	3616.7				
23	6/13/2018 18:00	14.996	3100				
24	6/13/2018 18:30	14.9	2066.7				
25	6/13/2018 19:00	14.804	1722.2				
26	6/13/2018 19:30	14.804	1248.6				
27	6/13/2018 20:00	14.709	731.9				
28	6/13/2018 20:30	14.709	1550				
29	6/13/2018 21:00	14.709	1377.8				
30	6/13/2018 21:30	14.709	818.1				
31	6/13/2018 22:00	14.613	785.8				
32	6/13/2018 22:30	14.613	279.9				
33	6/13/2018 23:00	14.517	215.3				
34	6/13/2018 23:30	14.517	96.9				
35	6/14/2018 0:00	14.517	64.6				
36	6/14/2018 0:30	14.421	21.5				
37	6/14/2018 1:00	14.421	10.8				
38	6/14/2018 1:30	14.325	21.5				
39	6/14/2018 2:00	14.325	10.8				
40	6/14/2018 2:30	14.23	53.8				
41	6/14/2018 3:00	14.23	75.3				
42	6/14/2018 3:30	14.23	161.5				
43	6/14/2018 4:00	14.134	290.6				
44	6/14/2018 4:30	14.134	409				
45	6/14/2018 5:00	14.134	495.1				
46	6/14/2018 5:30	14.038	721.2				
47	6/14/2018 6:00	14.038	1345.5				
48	6/14/2018 6:30	14.038	1463.9				
49	6/14/2018 7:00	14.038	2325				
50	6/14/2018 7:30	13.942	2497.2				
51	6/14/2018 8:00	14.038	4822.3				
52	6/14/2018 8:30	14.038	5166.7				
53	6/14/2018 9:00	14.038	5511.1				
54	6/14/2018 9:30	13.942	4994.5				
55	6/14/2018 10:00	14.038	7577.8				
56	6/14/2018 10:30	14.038	8611.2				
57	6/14/2018 11:00	13.846	5166.7				
58	6/14/2018 11:30	13.846	5338.9				
59	6/14/2018 12:00	13.846	3961.1				
60	6/14/2018 12:30	13.846	7233.4				
61	6/14/2018 13:00	13.846	6544.5				
62	6/14/2018 13:30	13.942	9300.1				
63	6/14/2018 14:00	13.846	6544.5				
64	6/14/2018 14:30	13.75	4477.8				
65	6/14/2018 15:00	13.75	6200				
66	6/14/2018 15:30	13.846	8266.7				
67	6/14/2018 16:00	13.654	3444.5				
68	6/14/2018 16:30	13.654	4822.3				
69	6/14/2018 17:00	13.558	3616.7				
70	6/14/2018 17:30	13.461	3100				
71	6/14/2018 18:00	13.365	1894.5				
72	6/14/2018 18:30	13.365	1722.2				
73	6/14/2018 19:00	13.365	1894.5				
74	6/14/2018 19:30	13.269	1377.8				
75	6/14/2018 20:00	13.076	1216.3				
76	6/14/2018 20:30	13.076	1065.6				
77	6/14/2018 21:00	13.076	645.8				
78	6/14/2018 21:30	13.076	366				
79	6/14/2018 22:00	12.98	172.2				
80	6/14/2018 22:30	12.883	107.6				
81	6/14/2018 23:00	12.883	32.3				
82	6/14/2018 23:30	12.69	10.8				
83	6/15/2018 0:00	12.69	0				
84	6/15/2018 0:30	12.69	0				
85	6/15/2018 1:00	12.69	0				
86	6/15/2018 1:30	12.69	10.8				
87	6/15/2018 2:00	12.594	10.8				
88	6/15/2018 2:30	12.497	10.8				
89	6/15/2018 3:00	12.497	32.3				
90	6/15/2018 3:30	12.401	118.4				
91	6/15/2018 4:00	12.304	107.6				
92	6/15/2018 4:30	12.304	366				
93	6/15/2018 5:00	12.207	344.4				
94	6/15/2018 5:30	12.207	904.2				
95	6/15/2018 6:00	12.207	914.9				
96	6/15/2018 6:30	12.11	1463.9				
