"Plot Title: e3_1m_19Jun221"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10419460, SEN S/N: 10419460, LBL: temp)","Intensity, Lux (LGR S/N: 10419460, SEN S/N: 10419460, LBL: light)","Coupler Attached (LGR S/N: 10419460)","Stopped (LGR S/N: 10419460)","End Of File (LGR S/N: 10419460)"
1,06/19/21 10:00:00,23.388,53.8,,,
2,06/19/21 11:00:00,18.901,10.8,,,
3,06/19/21 12:00:00,28.754,121245.2,,,
4,06/19/21 13:00:00,11.334,23422.4,,,
5,06/19/21 14:00:00,8.680,30311.3,,,
6,06/19/21 15:00:00,8.282,3100.0,,,
7,06/19/21 16:00:00,8.282,1722.2,,,
8,06/19/21 17:00:00,8.282,4133.4,,,
9,06/19/21 18:00:00,8.382,3616.7,,,
10,06/19/21 19:00:00,8.282,1636.1,,,
11,06/19/21 20:00:00,8.382,5166.7,,,
12,06/19/21 21:00:00,8.282,1130.2,,,
13,06/19/21 22:00:00,8.282,1011.8,,,
14,06/19/21 23:00:00,8.182,441.3,,,
15,06/20/21 00:00:00,8.182,86.1,,,
16,06/20/21 01:00:00,8.182,53.8,,,
17,06/20/21 02:00:00,8.082,118.4,,,
18,06/20/21 03:00:00,7.983,226.0,,,
19,06/20/21 04:00:00,7.983,333.7,,,
20,06/20/21 05:00:00,7.983,1205.6,,,
21,06/20/21 06:00:00,7.983,2152.8,,,
22,06/20/21 07:00:00,8.082,4994.5,,,
23,06/20/21 08:00:00,8.282,9644.5,,,
24,06/20/21 09:00:00,8.282,6200.0,,,
25,06/20/21 10:00:00,8.481,9644.5,,,
26,06/20/21 11:00:00,8.382,9644.5,,,
27,06/20/21 12:00:00,8.382,7577.8,,,
28,06/20/21 13:00:00,8.581,10677.8,,,
29,06/20/21 14:00:00,8.481,7233.4,,,
30,06/20/21 15:00:00,8.680,8611.2,,,
31,06/20/21 16:00:00,8.680,8266.7,,,
32,06/20/21 17:00:00,8.581,7233.4,,,
33,06/20/21 18:00:00,8.581,4133.4,,,
34,06/20/21 19:00:00,8.680,5166.7,,,
35,06/20/21 20:00:00,8.779,3272.2,,,
36,06/20/21 21:00:00,8.581,1808.3,,,
37,06/20/21 22:00:00,8.581,688.9,,,
38,06/20/21 23:00:00,8.581,322.9,,,
39,06/21/21 00:00:00,8.481,150.7,,,
40,06/21/21 01:00:00,8.481,86.1,,,
41,06/21/21 02:00:00,8.382,118.4,,,
42,06/21/21 03:00:00,8.382,301.4,,,
43,06/21/21 04:00:00,8.382,645.8,,,
44,06/21/21 05:00:00,8.382,2152.8,,,
45,06/21/21 06:00:00,8.382,3272.2,,,
46,06/21/21 07:00:00,8.481,6544.5,,,
47,06/21/21 08:00:00,8.581,7233.4,,,
48,06/21/21 09:00:00,8.581,10677.8,,,
49,06/21/21 10:00:00,8.581,4822.3,,,
50,06/21/21 11:00:00,8.581,7577.8,,,
51,06/21/21 12:00:00,8.481,3272.2,,,
52,06/21/21 13:00:00,8.680,8611.2,,,
53,06/21/21 14:00:00,8.680,5511.1,,,
54,06/21/21 15:00:00,8.581,2927.8,,,
55,06/21/21 16:00:00,8.680,2927.8,,,
56,06/21/21 17:00:00,8.680,3616.7,,,
57,06/21/21 18:00:00,8.680,1550.0,,,
58,06/21/21 19:00:00,8.581,1302.4,,,
59,06/21/21 20:00:00,8.581,818.1,,,
60,06/21/21 21:00:00,8.481,258.3,,,
61,06/21/21 22:00:00,8.680,150.7,,,
62,06/21/21 23:00:00,8.680,21.5,,,
63,06/22/21 00:00:00,8.581,0.0,,,
64,06/22/21 01:00:00,8.581,0.0,,,
65,06/22/21 02:00:00,8.581,10.8,,,
66,06/22/21 03:00:00,8.581,86.1,,,
67,06/22/21 04:00:00,8.581,301.4,,,
68,06/22/21 05:00:00,8.581,495.1,,,
69,06/22/21 06:00:00,8.581,1377.8,,,
70,06/22/21 07:00:00,8.581,2497.2,,,
71,06/22/21 08:00:00,8.680,4994.5,,,
72,06/22/21 09:00:00,8.779,4477.8,,,
73,06/22/21 10:00:00,8.779,1463.9,,,
74,06/22/21 11:00:00,8.978,4994.5,,,
75,06/22/21 12:00:00,8.978,6544.5,,,
76,06/22/21 13:00:00,9.077,9300.1,,,
77,06/22/21 14:00:00,9.373,12400.1,,,
78,06/22/21 15:00:00,9.472,11022.3,,,
79,06/22/21 16:00:00,9.275,4650.0,,,
80,06/22/21 17:00:00,9.669,24800.2,,,
81,06/22/21 18:00:00,9.373,5511.1,,,
82,06/22/21 19:00:00,9.275,2238.9,,,
83,06/22/21 20:00:00,9.275,1076.4,,,
84,06/22/21 21:00:00,9.176,861.1,,,
85,06/22/21 22:00:00,9.176,258.3,,,
86,06/22/21 23:00:00,9.077,21.5,,,
87,06/23/21 00:00:00,9.077,129.2,,,
88,06/23/21 01:00:00,8.978,43.1,,,
89,06/23/21 02:00:00,8.978,43.1,,,
90,06/23/21 03:00:00,8.978,96.9,,,
91,06/23/21 04:00:00,8.978,366.0,,,
92,06/23/21 05:00:00,8.879,581.3,,,
93,06/23/21 06:00:00,8.879,904.2,,,
94,06/23/21 07:00:00,8.978,2755.6,,,
95,06/23/21 08:00:00,8.978,2152.8,,,
96,06/23/21 09:00:00,8.978,3272.2,,,
97,06/23/21 10:00:00,8.978,5338.9,,,
98,06/23/21 11:00:00,8.978,2755.6,,,
99,06/23/21 12:00:00,8.978,4650.0,,,
100,06/23/21 13:00:00,9.176,8266.7,,,
101,06/23/21 14:00:00,9.176,7233.4,,,
102,06/23/21 15:00:00,9.176,5166.7,,,
103,06/23/21 16:00:00,9.077,3100.0,,,
104,06/23/21 17:00:00,9.176,5166.7,,,
