"Plot Title: Sonde_St33_JULY_2019"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","Coupler Attached (LGR S/N: 10517215)","Host Connected (LGR S/N: 10517215)","Coupler Detached (LGR S/N: 10517215)","Stopped (LGR S/N: 10517215)","End Of File (LGR S/N: 10517215)"
1,07/22/19 10:30:00,14.709,1463.9,,,,,
2,07/22/19 11:00:00,11.431,26178.0,,,,,
3,07/22/19 11:30:00,12.207,27555.7,,,,,
4,07/22/19 12:00:00,12.883,22044.6,,,,,
5,07/22/19 12:30:00,11.819,16533.4,,,,,
6,07/22/19 13:00:00,13.461,34444.7,,,,,
7,07/22/19 13:30:00,16.332,35822.5,,,,,
8,07/22/19 14:00:00,15.664,31689.1,,,,,
9,07/22/19 14:30:00,14.134,17911.2,,,,,
10,07/22/19 15:00:00,12.690,14466.8,,,,,
11,07/22/19 15:30:00,13.076,10333.4,,,,,
12,07/22/19 16:00:00,11.722,16533.4,,,,,
13,07/22/19 16:30:00,11.916,16533.4,,,,,
14,07/22/19 17:00:00,15.473,22044.6,,,,,
15,07/22/19 17:30:00,14.038,16533.4,,,,,
16,07/22/19 18:00:00,12.980,23422.4,,,,,
17,07/22/19 18:30:00,14.613,16533.4,,,,,
18,07/22/19 19:00:00,10.944,5511.1,,,,,
19,07/22/19 19:30:00,10.651,4477.8,,,,,
20,07/22/19 20:00:00,11.236,8266.7,,,,,
21,07/22/19 20:30:00,10.063,2927.8,,,,,
22,07/22/19 21:00:00,9.669,3444.5,,,,,
23,07/22/19 21:30:00,9.669,2238.9,,,,,
24,07/22/19 22:00:00,9.275,1205.6,,,,,
25,07/22/19 22:30:00,9.275,775.0,,,,,
26,07/22/19 23:00:00,9.275,269.1,,,,,
27,07/22/19 23:30:00,9.077,150.7,,,,,
28,07/23/19 00:00:00,9.077,43.1,,,,,
29,07/23/19 00:30:00,9.176,0.0,,,,,
30,07/23/19 01:00:00,9.176,0.0,,,,,
31,07/23/19 01:30:00,9.077,0.0,,,,,
32,07/23/19 02:00:00,8.978,0.0,,,,,
33,07/23/19 02:30:00,8.779,21.5,,,,,
34,07/23/19 03:00:00,8.879,43.1,,,,,
35,07/23/19 03:30:00,8.879,183.0,,,,,
36,07/23/19 04:00:00,9.077,678.1,,,,,
37,07/23/19 04:30:00,9.077,1270.1,,,,,
38,07/23/19 05:00:00,9.176,1097.9,,,,,
39,07/23/19 05:30:00,9.077,1377.8,,,,,
40,07/23/19 06:00:00,9.077,2669.5,,,,,
41,07/23/19 06:30:00,9.077,2755.6,,,,,
42,07/23/19 07:00:00,9.176,2927.8,,,,,
43,07/23/19 07:30:00,9.275,3444.5,,,,,
44,07/23/19 08:00:00,9.472,6200.0,,,,,
45,07/23/19 08:30:00,9.669,5166.7,,,,,
46,07/23/19 09:00:00,9.965,10333.4,,,,,
47,07/23/19 09:30:00,10.553,13089.0,,,,,
48,07/23/19 10:00:00,10.748,15844.5,,,,,
49,07/23/19 10:30:00,11.236,19977.9,,,,,
50,07/23/19 11:00:00,12.110,22044.6,,,,,
51,07/23/19 11:30:00,12.207,16533.4,,,,,
52,07/23/19 12:00:00,12.497,14466.8,,,,,
53,07/23/19 12:30:00,12.401,22044.6,,,,,
54,07/23/19 13:00:00,14.134,31689.1,,,,,
55,07/23/19 13:30:00,14.900,41333.6,,,,,
56,07/23/19 14:00:00,12.883,18600.1,,,,,
57,07/23/19 14:30:00,12.497,33066.9,,,,,
58,07/23/19 15:00:00,12.207,30311.3,,,,,
59,07/23/19 15:30:00,12.497,28933.5,,,,,
60,07/23/19 16:00:00,12.980,27555.7,,,,,
61,07/23/19 16:30:00,12.883,31689.1,,,,,
62,07/23/19 17:00:00,12.207,16533.4,,,,,
63,07/23/19 17:30:00,13.269,41333.6,,,,,
64,07/23/19 18:00:00,12.207,19289.0,,,,,
65,07/23/19 18:30:00,11.139,13089.0,,,,,
66,07/23/19 19:00:00,11.139,14466.8,,,,,
67,07/23/19 19:30:00,10.846,8611.2,,,,,
68,07/23/19 20:00:00,10.455,5166.7,,,,,
69,07/23/19 20:30:00,9.965,3616.7,,,,,
