"Plot Title: SONDE_31May19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349965, SEN S/N: 10349965, LBL: temp)","Intensity, Lux (LGR S/N: 10349965, SEN S/N: 10349965, LBL: light)","Coupler Attached (LGR S/N: 10349965)","Host Connected (LGR S/N: 10349965)","Stopped (LGR S/N: 10349965)","End Of File (LGR S/N: 10349965)"
1,05/31/19 10:00:00 AM,26.097,0.0,,,,
2,05/31/19 10:30:00 AM,25.416,0.0,,,,
3,05/31/19 11:00:00 AM,21.187,3961.1,,,,
4,05/31/19 11:30:00 AM,7.381,6200.0,,,,
5,05/31/19 12:00:00 PM,7.381,12400.1,,,,
6,05/31/19 12:30:00 PM,14.613,7233.4,,,,
7,05/31/19 01:00:00 PM,18.616,60622.6,,,,
8,05/31/19 01:30:00 PM,18.140,242490.5,,,,
9,05/31/19 02:00:00 PM,18.331,242490.5,,,,
10,05/31/19 02:30:00 PM,13.269,68889.3,,,,
11,05/31/19 03:00:00 PM,13.558,63378.2,,,,
12,05/31/19 03:30:00 PM,11.236,66133.8,,,,
13,05/31/19 04:00:00 PM,12.401,85422.8,,,,
14,05/31/19 04:30:00 PM,13.846,115734.1,,,,
15,05/31/19 05:00:00 PM,14.038,88178.4,,,,
16,05/31/19 05:30:00 PM,13.076,31689.1,,,,
17,05/31/19 06:00:00 PM,10.553,33066.9,,,,
18,05/31/19 06:30:00 PM,7.782,33066.9,,,,
19,05/31/19 07:00:00 PM,5.037,12400.1,,,,
20,05/31/19 07:30:00 PM,4.102,7577.8,,,,
21,05/31/19 08:00:00 PM,4.415,16533.4,,,,
22,05/31/19 08:30:00 PM,3.788,9644.5,,,,
23,05/31/19 09:00:00 PM,3.578,7577.8,,,,
24,05/31/19 09:30:00 PM,3.261,4994.5,,,,
25,05/31/19 10:00:00 PM,2.624,3961.1,,,,
26,05/31/19 10:30:00 PM,2.303,2238.9,,,,
27,05/31/19 11:00:00 PM,1.330,1377.8,,,,
28,05/31/19 11:30:00 PM,1.112,656.6,,,,
29,06/01/19 12:00:00 AM,1.003,366.0,,,,
30,06/01/19 12:30:00 AM,0.674,215.3,,,,
31,06/01/19 01:00:00 AM,0.674,129.2,,,,
32,06/01/19 01:30:00 AM,0.893,118.4,,,,
33,06/01/19 02:00:00 AM,0.784,172.2,,,,
34,06/01/19 02:30:00 AM,0.563,269.1,,,,
35,06/01/19 03:00:00 AM,0.784,473.6,,,,
36,06/01/19 03:30:00 AM,0.784,850.4,,,,
37,06/01/19 04:00:00 AM,0.674,1550.0,,,,
38,06/01/19 04:30:00 AM,0.453,2238.9,,,,
39,06/01/19 05:00:00 AM,0.453,3788.9,,,,
40,06/01/19 05:30:00 AM,1.003,5166.7,,,,
41,06/01/19 06:00:00 AM,1.330,8266.7,,,,
42,06/01/19 06:30:00 AM,1.764,10677.8,,,,
43,06/01/19 07:00:00 AM,2.088,10677.8,,,,
44,06/01/19 07:30:00 AM,2.517,13777.9,,,,
45,06/01/19 08:00:00 AM,2.195,14466.8,,,,
46,06/01/19 08:30:00 AM,2.410,16533.4,,,,
47,06/01/19 09:00:00 AM,3.367,28933.5,,,,
48,06/01/19 09:30:00 AM,3.578,30311.3,,,,
49,06/01/19 10:00:00 AM,3.998,33066.9,,,,
50,06/01/19 10:30:00 AM,4.311,44089.2,,,,
51,06/01/19 11:00:00 AM,5.347,49600.3,,,,
52,06/01/19 11:30:00 AM,5.037,46844.8,,,,
53,06/01/19 12:00:00 PM,4.934,46844.8,,,,
54,06/01/19 12:30:00 PM,5.655,49600.3,,,,
55,06/01/19 01:00:00 PM,5.962,46844.8,,,,
56,06/01/19 01:30:00 PM,5.962,39955.8,,,,
57,06/01/19 02:00:00 PM,5.552,41333.6,,,,
58,06/01/19 02:30:00 PM,4.623,28933.5,,,,
59,06/01/19 03:00:00 PM,5.037,31689.1,,,,
60,06/01/19 03:30:00 PM,5.450,33066.9,,,,
61,06/01/19 04:00:00 PM,5.552,30311.3,,,,
62,06/01/19 04:30:00 PM,4.519,19289.0,,,,
63,06/01/19 05:00:00 PM,4.102,15844.5,,,,
64,06/01/19 05:30:00 PM,3.893,16533.4,,,,
65,06/01/19 06:00:00 PM,4.415,17911.2,,,,
66,06/01/19 06:30:00 PM,3.578,14466.8,,,,
67,06/01/19 07:00:00 PM,2.730,11711.2,,,,
68,06/01/19 07:30:00 PM,2.624,8266.7,,,,
69,06/01/19 08:00:00 PM,2.410,6200.0,,,,
70,06/01/19 08:30:00 PM,2.088,8266.7,,,,
71,06/01/19 09:00:00 PM,2.195,5511.1,,,,
72,06/01/19 09:30:00 PM,1.980,4305.6,,,,
73,06/01/19 10:00:00 PM,1.656,2583.4,,,,
74,06/01/19 10:30:00 PM,1.548,1636.1,,,,
75,06/01/19 11:00:00 PM,1.439,914.9,,,,
76,06/01/19 11:30:00 PM,1.764,409.0,,,,
77,06/02/19 12:00:00 AM,1.221,215.3,,,,
78,06/02/19 12:30:00 AM,1.221,129.2,,,,
79,06/02/19 01:00:00 AM,1.003,75.3,,,,
80,06/02/19 01:30:00 AM,0.784,118.4,,,,
81,06/02/19 02:00:00 AM,0.784,204.5,,,,
82,06/02/19 02:30:00 AM,0.121,355.2,,,,
83,06/02/19 03:00:00 AM,0.453,484.4,,,,
84,06/02/19 03:30:00 AM,0.674,904.2,,,,
85,06/02/19 04:00:00 AM,0.784,1808.3,,,,
86,06/02/19 04:30:00 AM,1.003,2669.5,,,,
87,06/02/19 05:00:00 AM,1.221,4133.4,,,,
88,06/02/19 05:30:00 AM,1.548,5511.1,,,,
89,06/02/19 06:00:00 AM,1.764,8266.7,,,,
90,06/02/19 06:30:00 AM,2.303,12400.1,,,,
91,06/02/19 07:00:00 AM,3.049,14466.8,,,,
92,06/02/19 07:30:00 AM,2.624,14466.8,,,,
93,06/02/19 08:00:00 AM,3.261,17911.2,,,,
94,06/02/19 08:30:00 AM,3.367,20666.8,,,,
95,06/02/19 09:00:00 AM,3.788,23422.4,,,,
96,06/02/19 09:30:00 AM,4.519,38578.0,,,,
97,06/02/19 10:00:00 AM,4.831,34444.7,,,,
98,06/02/19 10:30:00 AM,5.860,41333.6,,,,
99,06/02/19 11:00:00 AM,6.370,42711.4,,,,
100,06/02/19 11:30:00 AM,6.674,44089.2,,,,
101,06/02/19 12:00:00 PM,6.877,41333.6,,,,
102,06/02/19 12:30:00 PM,5.757,34444.7,,,,
103,06/02/19 01:00:00 PM,7.983,44089.2,,,,
104,06/02/19 01:30:00 PM,9.275,55111.5,,,,
105,06/02/19 02:00:00 PM,8.481,44089.2,,,,
106,06/02/19 02:30:00 PM,8.879,60622.6,,,,
107,06/02/19 03:00:00 PM,10.846,44089.2,,,,
108,06/02/19 03:30:00 PM,7.179,38578.0,,,,
109,06/02/19 04:00:00 PM,7.882,33066.9,,,,
110,06/02/19 04:30:00 PM,6.877,28933.5,,,,
111,06/02/19 05:00:00 PM,6.370,30311.3,,,,
112,06/02/19 05:30:00 PM,5.552,23422.4,,,,
113,06/02/19 06:00:00 PM,4.727,19977.9,,,,
114,06/02/19 06:30:00 PM,3.683,17222.3,,,,
115,06/02/19 07:00:00 PM,4.207,21355.7,,,,
116,06/02/19 07:30:00 PM,3.893,18600.1,,,,
117,06/02/19 08:00:00 PM,3.367,12400.1,,,,
118,06/02/19 08:30:00 PM,3.049,5511.1,,,,
119,06/02/19 09:00:00 PM,2.730,4650.0,,,,
120,06/02/19 09:30:00 PM,2.837,3444.5,,,,
121,06/02/19 10:00:00 PM,2.624,2066.7,,,,
122,06/02/19 10:30:00 PM,2.303,1636.1,,,,
123,06/02/19 11:00:00 PM,2.088,871.9,,,,
124,06/02/19 11:30:00 PM,2.195,409.0,,,,
125,06/03/19 12:00:00 AM,2.088,301.4,,,,
126,06/03/19 12:30:00 AM,1.656,172.2,,,,
127,06/03/19 01:00:00 AM,1.112,193.8,,,,
128,06/03/19 01:30:00 AM,1.221,129.2,,,,
129,06/03/19 02:00:00 AM,1.221,118.4,,,,
130,06/03/19 02:30:00 AM,1.439,107.6,,,,
131,06/03/19 03:00:00 AM,1.764,172.2,,,,
132,06/03/19 03:30:00 AM,1.656,376.7,,,,
