MiniDOT Logger Concatenated Data File
Sensor:             7392-916555
Concatenation Date: 2021May31 06:23:51 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1599235260,           2020-09-04 16:01:00,           2020-09-04 11:01:00,      3.480000,     19.600000,          8.651000,                    97.688307,      1.002000
                1599237060,           2020-09-04 16:31:00,           2020-09-04 11:31:00,      3.480000,     18.997000,          8.766000,                    97.791833,      1.001000
                1599238860,           2020-09-04 17:01:00,           2020-09-04 12:01:00,      3.480000,     18.862000,          8.807000,                    97.980833,      1.003000
                1599240660,           2020-09-04 17:31:00,           2020-09-04 12:31:00,      3.480000,     18.661000,          8.843000,                    97.980395,      1.002000
                1599242460,           2020-09-04 18:01:00,           2020-09-04 13:01:00,      3.480000,     18.249000,          8.946000,                    98.291289,      1.003000
                1599244260,           2020-09-04 18:31:00,           2020-09-04 13:31:00,      3.480000,     18.308000,          8.926000,                    98.190100,      1.003000
                1599246060,           2020-09-04 19:01:00,           2020-09-04 14:01:00,      3.480000,     18.408000,          8.903000,                    98.137578,      1.002000
                1599247860,           2020-09-04 19:31:00,           2020-09-04 14:31:00,      3.480000,     18.543000,          8.881000,                    98.165198,      1.002000
                1599249660,           2020-09-04 20:01:00,           2020-09-04 15:01:00,      3.480000,     18.652000,          8.882000,                    98.394490,      1.003000
                1599251460,           2020-09-04 20:31:00,           2020-09-04 15:31:00,      3.480000,     18.761000,          8.860000,                    98.368573,      1.003000
                1599253260,           2020-09-04 21:01:00,           2020-09-04 16:01:00,      3.480000,     18.845000,          8.839000,                    98.302935,      1.002000
                1599255060,           2020-09-04 21:31:00,           2020-09-04 16:31:00,      3.480000,     18.879000,          8.834000,                    98.315109,      1.002000
                1599256860,           2020-09-04 22:01:00,           2020-09-04 17:01:00,      3.480000,     18.904000,          8.848000,                    98.520843,      1.003000
                1599258660,           2020-09-04 22:31:00,           2020-09-04 17:31:00,      3.480000,     18.904000,          8.848000,                    98.520843,      1.003000
                1599260460,           2020-09-04 23:01:00,           2020-09-04 18:01:00,      3.480000,     18.896000,          8.839000,                    98.404669,      1.003000
                1599262260,           2020-09-04 23:31:00,           2020-09-04 18:31:00,      3.480000,     18.854000,          8.850000,                    98.443245,      1.003000
                1599264060,           2020-09-05 00:01:00,           2020-09-04 19:01:00,      3.480000,     18.837000,          8.873000,                    98.665048,      1.004000
                1599265860,           2020-09-05 00:31:00,           2020-09-04 19:31:00,      3.480000,     18.820000,          8.872000,                    98.619896,      1.003000
                1599267660,           2020-09-05 01:01:00,           2020-09-04 20:01:00,      3.480000,     18.761000,          8.889000,                    98.690547,      1.003000
                1599269460,           2020-09-05 01:31:00,           2020-09-04 20:31:00,      3.480000,     18.778000,          8.873000,                    98.546934,      1.003000
                1599271260,           2020-09-05 02:01:00,           2020-09-04 21:01:00,      3.480000,     18.753000,          8.872000,                    98.485794,      1.002000
                1599273060,           2020-09-05 02:31:00,           2020-09-04 21:31:00,      3.480000,     18.778000,          8.862000,                    98.424764,      1.002000
                1599274860,           2020-09-05 03:01:00,           2020-09-04 22:01:00,      3.480000,     18.761000,          8.854000,                    98.301958,      1.001000
                1599276660,           2020-09-05 03:31:00,           2020-09-04 22:31:00,      3.480000,     18.770000,          8.879000,                    98.597548,      1.003000
                1599278460,           2020-09-05 04:01:00,           2020-09-04 23:01:00,      3.480000,     18.770000,          8.878000,                    98.586444,      1.003000
                1599280260,           2020-09-05 04:31:00,           2020-09-04 23:31:00,      3.480000,     18.803000,          8.869000,                    98.552531,      1.003000
                1599282060,           2020-09-05 05:01:00,           2020-09-05 00:01:00,      3.480000,     18.803000,          8.873000,                    98.596979,      1.003000
                1599283860,           2020-09-05 05:31:00,           2020-09-05 00:31:00,      3.480000,     18.778000,          8.874000,                    98.558040,      1.002000
                1599285660,           2020-09-05 06:01:00,           2020-09-05 01:01:00,      3.480000,     18.845000,          8.868000,                    98.625458,      1.004000
                1599287460,           2020-09-05 06:31:00,           2020-09-05 01:31:00,      3.480000,     18.862000,          8.863000,                    98.603852,      1.003000
                1599289260,           2020-09-05 07:01:00,           2020-09-05 02:01:00,      3.480000,     18.879000,          8.840000,                    98.381884,      1.002000
                1599291060,           2020-09-05 07:31:00,           2020-09-05 02:31:00,      3.480000,     18.703000,          8.898000,                    98.674068,      1.004000
                1599292860,           2020-09-05 08:01:00,           2020-09-05 03:01:00,      3.480000,     17.937000,          9.039000,                    98.678729,      1.003000
                1599294660,           2020-09-05 08:31:00,           2020-09-05 03:31:00,      3.480000,     18.030000,          8.992000,                    98.353650,      1.002000
                1599296460,           2020-09-05 09:01:00,           2020-09-05 04:01:00,      3.480000,     18.240000,          8.943000,                    98.240211,      1.001000
                1599298260,           2020-09-05 09:31:00,           2020-09-05 04:31:00,      3.480000,     18.451000,          8.929000,                    98.510664,      1.003000
                1599300060,           2020-09-05 10:01:00,           2020-09-05 05:01:00,      3.480000,     18.719000,          8.884000,                    98.550873,      1.004000
                1599301860,           2020-09-05 10:31:00,           2020-09-05 05:31:00,      3.480000,     18.854000,          8.833000,                    98.254145,      1.002000
                1599303660,           2020-09-05 11:01:00,           2020-09-05 06:01:00,      3.480000,     18.686000,          8.896000,                    98.617784,      1.003000
                1599305460,           2020-09-05 11:31:00,           2020-09-05 06:31:00,      3.480000,     17.751000,          9.055000,                    98.474953,      1.002000
                1599307260,           2020-09-05 12:01:00,           2020-09-05 07:01:00,      3.480000,     17.574000,          9.074000,                    98.320970,      1.002000
