MiniDOT Logger Concatenated Data File
Sensor:             7392-017259
Concatenation Date: 2018Jul17 19:52:50 GMT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,           Greenwich Mean Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1528826760,           2018-06-12 18:06:00,           2018-06-12 18:06:00,      3.500000,     22.911000,          8.110000,                    97.700216,      0.997000
                1528827060,           2018-06-12 18:11:00,           2018-06-12 18:11:00,      3.500000,     23.053000,          8.082000,                    97.626424,      0.997000
                1528827360,           2018-06-12 18:16:00,           2018-06-12 18:16:00,      3.500000,     23.078000,          8.109000,                    97.999136,      0.999000
                1528827660,           2018-06-12 18:21:00,           2018-06-12 18:21:00,      3.500000,     22.953000,          8.136000,                    98.091882,      0.998000
                1528827960,           2018-06-12 18:26:00,           2018-06-12 18:26:00,      3.500000,     22.719000,          8.162000,                    97.967076,      0.997000
                1528828260,           2018-06-12 18:31:00,           2018-06-12 18:31:00,      3.500000,     22.501000,          8.216000,                    98.204616,      0.998000
                1528828560,           2018-06-12 18:36:00,           2018-06-12 18:36:00,      3.500000,     22.351000,          8.215000,                    97.910388,      0.996000
                1528828860,           2018-06-12 18:41:00,           2018-06-12 18:41:00,      3.500000,     22.259000,          8.236000,                    97.987194,      0.997000
                1528829160,           2018-06-12 18:46:00,           2018-06-12 18:46:00,      3.500000,     22.167000,          8.245000,                    97.920667,      0.997000
                1528829460,           2018-06-12 18:51:00,           2018-06-12 18:51:00,      3.500000,     22.075000,          8.252000,                    97.830118,      0.995000
                1528829760,           2018-06-12 18:56:00,           2018-06-12 18:56:00,      3.500000,     22.025000,          8.257000,                    97.794972,      0.996000
                1528830060,           2018-06-12 19:01:00,           2018-06-12 19:01:00,      3.500000,     22.008000,          8.305000,                    98.331193,      0.999000
                1528830360,           2018-06-12 19:06:00,           2018-06-12 19:06:00,      3.500000,     21.950000,          8.295000,                    98.102792,      0.998000
