MiniDOT Logger Concatenated Data File
Sensor:             7392-017259
Concatenation Date: 2018Aug16 13:56:25 GMT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,           Greenwich Mean Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1531857660,           2018-07-17 20:01:00,           2018-07-17 20:01:00,      3.380000,     14.458000,          9.724000,                    98.609900,      1.009000
                1531857960,           2018-07-17 20:06:00,           2018-07-17 20:06:00,      3.390000,     14.181000,          9.780000,                    98.578567,      1.006000
                1531858260,           2018-07-17 20:11:00,           2018-07-17 20:11:00,      3.400000,     14.674000,          9.643000,                    98.249740,      1.007000
                1531858560,           2018-07-17 20:16:00,           2018-07-17 20:16:00,      3.410000,     13.240000,          9.948000,                    98.207373,      1.003000
                1531858860,           2018-07-17 20:21:00,           2018-07-17 20:21:00,      3.410000,     12.977000,         10.521000,                   103.255598,      0.999000
                1531859160,           2018-07-17 20:26:00,           2018-07-17 20:26:00,      3.420000,     12.889000,          9.978000,                    97.733547,      1.000000
                1531859460,           2018-07-17 20:31:00,           2018-07-17 20:31:00,      3.420000,     12.862000,          3.824000,                    37.433033,      0.967000
                1531859760,           2018-07-17 20:36:00,           2018-07-17 20:36:00,      3.420000,     12.845000,          3.900000,                    38.162434,      0.984000
                1531860060,           2018-07-17 20:41:00,           2018-07-17 20:41:00,      3.430000,     12.810000,          4.125000,                    40.332409,      0.989000
                1531860360,           2018-07-17 20:46:00,           2018-07-17 20:46:00,      3.430000,     12.818000,          4.391000,                    42.940951,      0.992000
                1531860660,           2018-07-17 20:51:00,           2018-07-17 20:51:00,      3.430000,     12.810000,          4.654000,                    45.504735,      0.993000
                1531860960,           2018-07-17 20:56:00,           2018-07-17 20:56:00,      3.430000,     12.810000,          4.773000,                    46.668263,      0.998000
                1531861260,           2018-07-17 21:01:00,           2018-07-17 21:01:00,      3.430000,     12.810000,          5.080000,                    49.669972,      0.998000
                1531861560,           2018-07-17 21:06:00,           2018-07-17 21:06:00,      3.430000,     12.827000,          5.228000,                    51.136566,      1.001000
                1531861860,           2018-07-17 21:11:00,           2018-07-17 21:11:00,      3.440000,     12.801000,          5.340000,                    52.201584,      1.003000
                1531862160,           2018-07-17 21:16:00,           2018-07-17 21:16:00,      3.440000,     12.827000,          5.378000,                    52.603759,      1.004000
                1531862460,           2018-07-17 21:21:00,           2018-07-17 21:21:00,      3.440000,     12.854000,          5.401000,                    52.860754,      1.007000
                1531862760,           2018-07-17 21:26:00,           2018-07-17 21:26:00,      3.440000,     12.827000,          5.560000,                    54.383953,      1.007000
                1531863060,           2018-07-17 21:31:00,           2018-07-17 21:31:00,      3.440000,     12.845000,          5.676000,                    55.541019,      1.006000
                1531863360,           2018-07-17 21:36:00,           2018-07-17 21:36:00,      3.440000,     12.845000,          5.672000,                    55.501878,      1.008000
                1531863660,           2018-07-17 21:41:00,           2018-07-17 21:41:00,      3.440000,     12.854000,          5.768000,                    56.452662,      1.008000
