MiniDOT Logger Concatenated Data File
Sensor:             7450-636656
Concatenation Date: 2018Jul21 11:34:35 GMT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,           Greenwich Mean Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1528826760,           2018-06-12 18:06:00,           2018-06-12 18:06:00,      3.480000,     23.122000,          8.112000,                    98.117391,      0.972000
                1528827060,           2018-06-12 18:11:00,           2018-06-12 18:11:00,      3.490000,     22.980000,          8.262000,                    99.662222,      0.972000
                1528827360,           2018-06-12 18:16:00,           2018-06-12 18:16:00,      3.490000,     23.180000,          8.228000,                    99.630109,      0.972000
                1528827660,           2018-06-12 18:21:00,           2018-06-12 18:21:00,      3.490000,     23.247000,          8.234000,                    99.829563,      0.973000
                1528827960,           2018-06-12 18:26:00,           2018-06-12 18:26:00,      3.490000,     23.122000,          8.263000,                    99.943787,      0.973000
                1528828260,           2018-06-12 18:31:00,           2018-06-12 18:31:00,      3.500000,     23.005000,          8.287000,                   100.011364,      0.973000
                1528828560,           2018-06-12 18:36:00,           2018-06-12 18:36:00,      3.500000,     22.904000,          8.295000,                    99.915561,      0.973000
                1528828860,           2018-06-12 18:41:00,           2018-06-12 18:41:00,      3.500000,     22.829000,          8.304000,                    99.881033,      0.973000
                1528829160,           2018-06-12 18:46:00,           2018-06-12 18:46:00,      3.500000,     22.746000,          8.310000,                    99.794959,      0.973000
                1528829460,           2018-06-12 18:51:00,           2018-06-12 18:51:00,      3.500000,     22.620000,          8.322000,                    99.698604,      0.972000
                1528829760,           2018-06-12 18:56:00,           2018-06-12 18:56:00,      3.500000,     22.428000,          8.357000,                    99.750197,      0.972000
                1528830060,           2018-06-12 19:01:00,           2018-06-12 19:01:00,      3.500000,     22.236000,          8.383000,                    99.691982,      0.972000
                1528830360,           2018-06-12 19:06:00,           2018-06-12 19:06:00,      3.500000,     22.045000,          8.405000,                    99.586311,      0.972000
                1528830660,           2018-06-12 19:11:00,           2018-06-12 19:11:00,      3.510000,     21.819000,          8.450000,                    99.682945,      0.973000
                1528830960,           2018-06-12 19:16:00,           2018-06-12 19:16:00,      3.510000,     21.727000,          8.449000,                    99.493579,      0.972000
                1528831260,           2018-06-12 19:21:00,           2018-06-12 19:21:00,      3.510000,     21.627000,          8.478000,                    99.641483,      0.973000
                1528831560,           2018-06-12 19:26:00,           2018-06-12 19:26:00,      3.510000,     21.677000,          8.427000,                    99.138288,      0.972000
                1528831860,           2018-06-12 19:31:00,           2018-06-12 19:31:00,      3.510000,     21.752000,          8.421000,                    99.211943,      0.972000
                1528832160,           2018-06-12 19:36:00,           2018-06-12 19:36:00,      3.510000,     21.861000,          8.411000,                    99.303592,      0.972000
                1528832460,           2018-06-12 19:41:00,           2018-06-12 19:41:00,      3.510000,     21.861000,          8.426000,                    99.480688,      0.973000
                1528832760,           2018-06-12 19:46:00,           2018-06-12 19:46:00,      3.510000,     21.828000,          8.423000,                    99.381753,      0.972000
                1528833060,           2018-06-12 19:51:00,           2018-06-12 19:51:00,      3.510000,     21.786000,          8.428000,                    99.359873,      0.972000
                1528833360,           2018-06-12 19:56:00,           2018-06-12 19:56:00,      3.510000,     21.644000,          8.466000,                    99.533307,      0.973000
                1528833660,           2018-06-12 20:01:00,           2018-06-12 20:01:00,      3.510000,     21.611000,          8.458000,                    99.375530,      0.972000
                1528833960,           2018-06-12 20:06:00,           2018-06-12 20:06:00,      3.510000,     21.627000,          8.455000,                    99.371165,      0.972000
                1528834260,           2018-06-12 20:11:00,           2018-06-12 20:11:00,      3.510000,     21.494000,          8.489000,                    99.513078,      0.973000
                1528834560,           2018-06-12 20:16:00,           2018-06-12 20:16:00,      3.510000,     21.519000,          8.476000,                    99.409037,      0.973000
                1528834860,           2018-06-12 20:21:00,           2018-06-12 20:21:00,      3.520000,     21.435000,          8.489000,                    99.398812,      0.972000
                1528835160,           2018-06-12 20:26:00,           2018-06-12 20:26:00,      3.520000,     21.385000,          8.501000,                    99.442370,      0.972000
                1528835460,           2018-06-12 20:31:00,           2018-06-12 20:31:00,      3.520000,     21.385000,          8.505000,                    99.489161,      0.973000
