MiniDOT Logger Concatenated Data File
Sensor:             7450-636656
Concatenation Date: 2019Aug17 11:14:05 GMT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,           Greenwich Mean Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1565955900,           2019-08-16 11:45:00,           2019-08-16 11:45:00,      3.530000,     10.730000,         10.337000,                    96.374788,      1.001000
                1565956500,           2019-08-16 11:55:00,           2019-08-16 11:55:00,      3.530000,     10.467000,         10.466000,                    96.980100,      1.002000
                1565957100,           2019-08-16 12:05:00,           2019-08-16 12:05:00,      3.530000,     10.585000,         10.460000,                    97.192273,      1.002000
                1565957700,           2019-08-16 12:15:00,           2019-08-16 12:15:00,      3.530000,     10.658000,         10.460000,                    97.358015,      1.002000
                1565958300,           2019-08-16 12:25:00,           2019-08-16 12:25:00,      3.530000,     10.721000,         10.469000,                    97.584999,      1.003000
                1565958900,           2019-08-16 12:35:00,           2019-08-16 12:35:00,      3.530000,     10.875000,         10.428000,                    97.551741,      1.003000
                1565959500,           2019-08-16 12:45:00,           2019-08-16 12:45:00,      3.530000,     10.902000,         10.430000,                    97.631667,      1.002000
                1565960100,           2019-08-16 12:55:00,           2019-08-16 12:55:00,      3.530000,     11.064000,         10.387000,                    97.595128,      1.002000
                1565960700,           2019-08-16 13:05:00,           2019-08-16 13:05:00,      3.530000,     11.137000,         10.370000,                    97.600146,      1.002000
                1565961300,           2019-08-16 13:15:00,           2019-08-16 13:15:00,      3.530000,     11.245000,         10.352000,                    97.674166,      1.002000
                1565961900,           2019-08-16 13:25:00,           2019-08-16 13:25:00,      3.530000,     11.397000,         10.302000,                    97.543592,      1.002000
                1565962500,           2019-08-16 13:35:00,           2019-08-16 13:35:00,      3.530000,     11.514000,         10.271000,                    97.512097,      1.002000
                1565963100,           2019-08-16 13:45:00,           2019-08-16 13:45:00,      3.530000,     11.586000,         10.261000,                    97.578328,      1.002000
                1565963700,           2019-08-16 13:55:00,           2019-08-16 13:55:00,      3.530000,     11.755000,         10.217000,                    97.536824,      1.002000
                1565964300,           2019-08-16 14:05:00,           2019-08-16 14:05:00,      3.530000,     11.863000,         10.192000,                    97.538619,      1.002000
                1565964900,           2019-08-16 14:15:00,           2019-08-16 14:15:00,      3.530000,     12.041000,         10.134000,                    97.377901,      1.001000
                1565965500,           2019-08-16 14:25:00,           2019-08-16 14:25:00,      3.530000,     12.050000,         10.152000,                    97.570848,      1.002000
                1565966100,           2019-08-16 14:35:00,           2019-08-16 14:35:00,      3.520000,     12.147000,         10.115000,                    97.429899,      1.001000
                1565966700,           2019-08-16 14:45:00,           2019-08-16 14:45:00,      3.520000,     12.298000,         10.082000,                    97.445317,      1.002000
                1565967300,           2019-08-16 14:55:00,           2019-08-16 14:55:00,      3.520000,     12.378000,         10.071000,                    97.515484,      1.002000
                1565967900,           2019-08-16 15:05:00,           2019-08-16 15:05:00,      3.530000,     12.511000,         10.030000,                    97.410860,      1.001000
                1565968500,           2019-08-16 15:15:00,           2019-08-16 15:15:00,      3.530000,     12.591000,         10.013000,                    97.421415,      1.002000
                1565969100,           2019-08-16 15:25:00,           2019-08-16 15:25:00,      3.520000,     12.741000,          9.972000,                    97.350709,      1.001000
                1565969700,           2019-08-16 15:35:00,           2019-08-16 15:35:00,      3.520000,     12.802000,          9.967000,                    97.435369,      1.002000
