MiniDOT Logger Concatenated Data File
Sensor:             7450-636656
Concatenation Date: 2018Jun06 15:00:05 GMT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,           Greenwich Mean Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1527673980,           2018-05-30 09:53:00,           2018-05-30 09:53:00,      3.550000,     23.799000,          8.416000,                   103.105368,      0.976000
                1527674580,           2018-05-30 10:03:00,           2018-05-30 10:03:00,      3.550000,     23.974000,          8.385000,                   103.063847,      0.977000
                1527675180,           2018-05-30 10:13:00,           2018-05-30 10:13:00,      3.560000,     23.147000,          8.511000,                   102.992320,      0.977000
                1527675780,           2018-05-30 10:23:00,           2018-05-30 10:23:00,      3.560000,     22.545000,          8.641000,                   103.371708,      0.977000
                1527676380,           2018-05-30 10:33:00,           2018-05-30 10:33:00,      3.560000,     12.943000,         10.946000,                   107.344870,      0.976000
                1527676980,           2018-05-30 10:43:00,           2018-05-30 10:43:00,      3.560000,     11.657000,         11.940000,                   113.730007,      0.980000
                1527677580,           2018-05-30 10:53:00,           2018-05-30 10:53:00,      3.560000,     11.469000,         12.036000,                   114.150753,      0.980000
                1527678180,           2018-05-30 11:03:00,           2018-05-30 11:03:00,      3.560000,     11.424000,         12.094000,                   114.582171,      0.982000
                1527678780,           2018-05-30 11:13:00,           2018-05-30 11:13:00,      3.560000,     11.370000,         12.111000,                   114.600679,      0.981000
                1527679380,           2018-05-30 11:23:00,           2018-05-30 11:23:00,      3.560000,     11.442000,         12.110000,                   114.781284,      0.981000
                1527679980,           2018-05-30 11:33:00,           2018-05-30 11:33:00,      3.560000,     11.487000,         12.107000,                   114.871649,      0.981000
                1527680580,           2018-05-30 11:43:00,           2018-05-30 11:43:00,      3.560000,     11.532000,         12.057000,                   114.515584,      0.980000
                1527681180,           2018-05-30 11:53:00,           2018-05-30 11:53:00,      3.560000,     11.550000,         12.065000,                   114.638941,      0.980000
                1527681780,           2018-05-30 12:03:00,           2018-05-30 12:03:00,      3.560000,     11.648000,         12.012000,                   114.392219,      0.980000
                1527682380,           2018-05-30 12:13:00,           2018-05-30 12:13:00,      3.560000,     11.630000,         12.026000,                   114.478298,      0.980000
                1527682980,           2018-05-30 12:23:00,           2018-05-30 12:23:00,      3.560000,     11.657000,         12.058000,                   114.853972,      0.980000
                1527683580,           2018-05-30 12:33:00,           2018-05-30 12:33:00,      3.550000,     11.729000,         12.002000,                   114.509223,      0.979000
                1527684180,           2018-05-30 12:43:00,           2018-05-30 12:43:00,      3.560000,     11.746000,         12.050000,                   115.011917,      0.980000
                1527684780,           2018-05-30 12:53:00,           2018-05-30 12:53:00,      3.550000,     11.863000,         11.988000,                   114.726547,      0.980000
                1527685380,           2018-05-30 13:03:00,           2018-05-30 13:03:00,      3.550000,     11.934000,         11.932000,                   114.375773,      0.980000
                1527685980,           2018-05-30 13:13:00,           2018-05-30 13:13:00,      3.550000,     11.827000,         11.978000,                   114.536630,      0.980000
                1527686580,           2018-05-30 13:23:00,           2018-05-30 13:23:00,      3.550000,     11.836000,         11.914000,                   113.948072,      0.980000
                1527687180,           2018-05-30 13:33:00,           2018-05-30 13:33:00,      3.550000,     11.800000,         11.918000,                   113.892598,      0.980000
                1527687780,           2018-05-30 13:43:00,           2018-05-30 13:43:00,      3.550000,     11.809000,         11.914000,                   113.877796,      0.980000
                1527688380,           2018-05-30 13:53:00,           2018-05-30 13:53:00,      3.550000,     11.845000,         11.858000,                   113.435794,      0.980000
                1527688980,           2018-05-30 14:03:00,           2018-05-30 14:03:00,      3.550000,     11.889000,         11.806000,                   113.051864,      0.979000
                1527689580,           2018-05-30 14:13:00,           2018-05-30 14:13:00,      3.550000,     11.827000,         11.804000,                   112.872798,      0.980000
                1527690180,           2018-05-30 14:23:00,           2018-05-30 14:23:00,      3.550000,     11.764000,         11.824000,                   112.901327,      0.980000
                1527690780,           2018-05-30 14:33:00,           2018-05-30 14:33:00,      3.550000,     11.782000,         11.828000,                   112.986022,      0.980000
