MiniDOT Logger Concatenated Data File
Sensor:             7450-516934
Concatenation Date: 2019Jun13 14:00:11 GMT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,           Greenwich Mean Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1560185580,           2019-06-10 16:53:00,           2019-06-10 16:53:00,      3.550000,     25.019000,          7.915000,                    99.198745,      1.024000
                1560186180,           2019-06-10 17:03:00,           2019-06-10 17:03:00,      3.550000,     25.559000,          7.863000,                    99.532033,      1.025000
                1560186780,           2019-06-10 17:13:00,           2019-06-10 17:13:00,      3.550000,     25.078000,          7.911000,                    99.256771,      1.026000
                1560187380,           2019-06-10 17:23:00,           2019-06-10 17:23:00,      3.550000,     23.234000,          8.194000,                    99.320114,      1.028000
                1560187980,           2019-06-10 17:33:00,           2019-06-10 17:33:00,      3.560000,     21.154000,          8.545000,                    99.507105,      1.029000
                1560188580,           2019-06-10 17:43:00,           2019-06-10 17:43:00,      3.550000,     19.569000,          8.812000,                    99.444507,      1.029000
                1560189180,           2019-06-10 17:53:00,           2019-06-10 17:53:00,      3.560000,     16.921000,          9.380000,                   100.263820,      1.028000
                1560189780,           2019-06-10 18:03:00,           2019-06-10 18:03:00,      3.560000,     13.120000,         11.274000,                   111.000135,      1.023000
                1560190380,           2019-06-10 18:13:00,           2019-06-10 18:13:00,      3.550000,      9.766000,         12.306000,                   112.162756,      1.029000
                1560190980,           2019-06-10 18:23:00,           2019-06-10 18:23:00,      3.550000,      9.269000,         12.565000,                   113.176403,      1.031000
                1560191580,           2019-06-10 18:33:00,           2019-06-10 18:33:00,      3.550000,      9.554000,         12.580000,                   114.084382,      1.032000
                1560192180,           2019-06-10 18:43:00,           2019-06-10 18:43:00,      3.550000,      9.407000,         12.509000,                   113.043954,      1.032000
                1560192780,           2019-06-10 18:53:00,           2019-06-10 18:53:00,      3.550000,      9.619000,         12.609000,                   114.524230,      1.032000
                1560193380,           2019-06-10 19:03:00,           2019-06-10 19:03:00,      3.550000,      9.637000,         12.567000,                   114.191579,      1.031000
