MiniDOT Logger Concatenated Data File
Sensor:             7450-516934
Concatenation Date: 2018Sep06 13:47:13 CDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Central Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1528826760,           2018-06-12 18:06:00,           2018-06-12 13:06:00,      3.500000,     23.108000,          8.044000,                    97.269034,      0.968000
                1528827060,           2018-06-12 18:11:00,           2018-06-12 13:11:00,      3.510000,     23.201000,          8.055000,                    97.574186,      0.967000
                1528827360,           2018-06-12 18:16:00,           2018-06-12 13:16:00,      3.510000,     23.360000,          8.032000,                    97.589196,      0.966000
                1528827660,           2018-06-12 18:21:00,           2018-06-12 13:21:00,      3.510000,     23.318000,          8.056000,                    97.802986,      0.967000
                1528827960,           2018-06-12 18:26:00,           2018-06-12 13:26:00,      3.510000,     23.075000,          8.101000,                    97.896871,      0.967000
                1528828260,           2018-06-12 18:31:00,           2018-06-12 13:31:00,      3.510000,     22.941000,          8.116000,                    97.828391,      0.967000
                1528828560,           2018-06-12 18:36:00,           2018-06-12 13:36:00,      3.510000,     22.823000,          8.137000,                    97.861143,      0.967000
                1528828860,           2018-06-12 18:41:00,           2018-06-12 13:41:00,      3.520000,     22.798000,          8.135000,                    97.790426,      0.968000
                1528829160,           2018-06-12 18:46:00,           2018-06-12 13:46:00,      3.520000,     22.714000,          8.142000,                    97.717682,      0.967000
                1528829460,           2018-06-12 18:51:00,           2018-06-12 13:51:00,      3.520000,     22.345000,          8.210000,                    97.839515,      0.967000
                1528829760,           2018-06-12 18:56:00,           2018-06-12 13:56:00,      3.520000,     22.110000,          8.250000,                    97.872458,      0.967000
                1528830060,           2018-06-12 19:01:00,           2018-06-12 14:01:00,      3.520000,     22.051000,          8.237000,                    97.607073,      0.976000
                1528830360,           2018-06-12 19:06:00,           2018-06-12 14:06:00,      3.520000,     21.900000,          8.259000,                    97.582635,      0.975000
                1528830660,           2018-06-12 19:11:00,           2018-06-12 14:11:00,      3.520000,     21.733000,          8.286000,                    97.585482,      0.975000
                1528830960,           2018-06-12 19:16:00,           2018-06-12 14:16:00,      3.520000,     21.624000,          8.304000,                    97.590783,      0.975000
                1528831260,           2018-06-12 19:21:00,           2018-06-12 14:21:00,      3.520000,     21.548000,          8.322000,                    97.657955,      0.976000
                1528831560,           2018-06-12 19:26:00,           2018-06-12 14:26:00,      3.520000,     21.481000,          8.326000,                    97.577599,      0.976000
