MiniDOT Logger Concatenated Data File
Sensor:             7450-599155
Concatenation Date: 2020Jul25 10:33:27 GMT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 282.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,           Greenwich Mean Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1595588940,           2020-07-24 11:09:00,           2020-07-24 11:09:00,      3.530000,     13.106000,          8.330000,                    81.988823,      0.982000
                1595589540,           2020-07-24 11:19:00,           2020-07-24 11:19:00,      3.530000,     11.009000,          8.760000,                    82.203195,      0.986000
                1595590140,           2020-07-24 11:29:00,           2020-07-24 11:29:00,      3.530000,     10.557000,          8.873000,                    82.392268,      0.987000
                1595590740,           2020-07-24 11:39:00,           2020-07-24 11:39:00,      3.530000,     10.421000,          8.968000,                    83.009871,      0.988000
                1595591340,           2020-07-24 11:49:00,           2020-07-24 11:49:00,      3.530000,     10.394000,          8.961000,                    82.892623,      0.987000
                1595591940,           2020-07-24 11:59:00,           2020-07-24 11:59:00,      3.530000,     10.376000,          9.026000,                    83.458678,      0.987000
                1595592540,           2020-07-24 12:09:00,           2020-07-24 12:09:00,      3.530000,     10.458000,          9.074000,                    84.063832,      0.987000
                1595593140,           2020-07-24 12:19:00,           2020-07-24 12:19:00,      3.530000,     10.530000,          9.121000,                    84.641697,      0.987000
                1595593740,           2020-07-24 12:29:00,           2020-07-24 12:29:00,      3.530000,     10.594000,          9.299000,                    86.422651,      0.987000
                1595594340,           2020-07-24 12:39:00,           2020-07-24 12:39:00,      3.530000,     10.621000,          9.361000,                    87.053721,      0.986000
                1595594940,           2020-07-24 12:49:00,           2020-07-24 12:49:00,      3.530000,     10.702000,          9.451000,                    88.056889,      0.986000
                1595595540,           2020-07-24 12:59:00,           2020-07-24 12:59:00,      3.530000,     10.784000,          9.517000,                    88.841329,      0.986000
                1595596140,           2020-07-24 13:09:00,           2020-07-24 13:09:00,      3.530000,     10.838000,          9.547000,                    89.233399,      0.986000
                1595596740,           2020-07-24 13:19:00,           2020-07-24 13:19:00,      3.530000,     10.910000,          9.566000,                    89.560695,      0.986000
                1595597340,           2020-07-24 13:29:00,           2020-07-24 13:29:00,      3.530000,     10.973000,          9.621000,                    90.207423,      0.986000
                1595597940,           2020-07-24 13:39:00,           2020-07-24 13:39:00,      3.530000,     11.081000,          9.623000,                    90.452264,      0.986000
                1595598540,           2020-07-24 13:49:00,           2020-07-24 13:49:00,      3.530000,     11.090000,          9.662000,                    90.837771,      0.985000
                1595599140,           2020-07-24 13:59:00,           2020-07-24 13:59:00,      3.530000,     11.117000,          9.697000,                    91.223806,      0.986000
                1595599740,           2020-07-24 14:09:00,           2020-07-24 14:09:00,      3.530000,     11.243000,          9.676000,                    91.291692,      0.986000
                1595600340,           2020-07-24 14:19:00,           2020-07-24 14:19:00,      3.530000,     11.261000,          9.696000,                    91.518403,      0.986000
                1595600940,           2020-07-24 14:29:00,           2020-07-24 14:29:00,      3.530000,     11.351000,          9.698000,                    91.727442,      0.986000
                1595601540,           2020-07-24 14:39:00,           2020-07-24 14:39:00,      3.530000,     11.396000,          9.700000,                    91.841493,      0.986000
                1595602140,           2020-07-24 14:49:00,           2020-07-24 14:49:00,      3.530000,     11.405000,          9.701000,                    91.869993,      0.986000
                1595602740,           2020-07-24 14:59:00,           2020-07-24 14:59:00,      3.530000,     11.440000,          9.708000,                    92.010358,      0.986000
                1595603340,           2020-07-24 15:09:00,           2020-07-24 15:09:00,      3.530000,     11.485000,          9.709000,                    92.115104,      0.986000
                1595603940,           2020-07-24 15:19:00,           2020-07-24 15:19:00,      3.530000,     11.601000,          9.669000,                    91.980273,      0.985000
                1595604540,           2020-07-24 15:29:00,           2020-07-24 15:29:00,      3.530000,     11.673000,          9.669000,                    92.132215,      0.986000
                1595605140,           2020-07-24 15:39:00,           2020-07-24 15:39:00,      3.530000,     11.691000,          9.666000,                    92.141612,      0.985000
                1595605740,           2020-07-24 15:49:00,           2020-07-24 15:49:00,      3.530000,     11.780000,          9.647000,                    92.147980,      0.985000
                1595606340,           2020-07-24 15:59:00,           2020-07-24 15:59:00,      3.530000,     11.798000,          9.649000,                    92.205021,      0.986000
                1595606940,           2020-07-24 16:09:00,           2020-07-24 16:09:00,      3.530000,     11.824000,          9.653000,                    92.298072,      0.985000
                1595607540,           2020-07-24 16:19:00,           2020-07-24 16:19:00,      3.530000,     11.940000,          9.620000,                    92.226407,      0.985000
                1595608140,           2020-07-24 16:29:00,           2020-07-24 16:29:00,      3.530000,     12.002000,          9.600000,                    92.164801,      0.985000
                1595608740,           2020-07-24 16:39:00,           2020-07-24 16:39:00,      3.530000,     12.011000,          9.601000,                    92.193297,      0.985000
                1595609340,           2020-07-24 16:49:00,           2020-07-24 16:49:00,      3.530000,     12.065000,          9.593000,                    92.229775,      0.985000
                1595609940,           2020-07-24 16:59:00,           2020-07-24 16:59:00,      3.530000,     12.091000,          9.591000,                    92.265097,      0.985000
                1595610540,           2020-07-24 17:09:00,           2020-07-24 17:09:00,      3.530000,     12.136000,          9.590000,                    92.349900,      0.986000
                1595611140,           2020-07-24 17:19:00,           2020-07-24 17:19:00,      3.530000,     12.180000,          9.569000,                    92.239817,      0.985000
                1595611740,           2020-07-24 17:29:00,           2020-07-24 17:29:00,      3.530000,     12.242000,          9.553000,                    92.215242,      0.985000
                1595612340,           2020-07-24 17:39:00,           2020-07-24 17:39:00,      3.530000,     12.304000,          9.540000,                    92.219274,      0.985000
                1595612940,           2020-07-24 17:49:00,           2020-07-24 17:49:00,      3.530000,     12.339000,          9.535000,                    92.244037,      0.985000
                1595613540,           2020-07-24 17:59:00,           2020-07-24 17:59:00,      3.530000,     12.437000,          9.513000,                    92.235471,      0.985000
                1595614140,           2020-07-24 18:09:00,           2020-07-24 18:09:00,      3.530000,     12.428000,          9.514000,                    92.226401,      0.985000
                1595614740,           2020-07-24 18:19:00,           2020-07-24 18:19:00,      3.530000,     12.463000,          9.510000,                    92.260577,      0.985000
                1595615340,           2020-07-24 18:29:00,           2020-07-24 18:29:00,      3.530000,     12.534000,          9.495000,                    92.262849,      0.985000
                1595615940,           2020-07-24 18:39:00,           2020-07-24 18:39:00,      3.530000,     12.551000,          9.488000,                    92.230199,      0.985000
                1595616540,           2020-07-24 18:49:00,           2020-07-24 18:49:00,      3.530000,     12.648000,          9.463000,                    92.188517,      0.985000
                1595617140,           2020-07-24 18:59:00,           2020-07-24 18:59:00,      3.530000,     12.719000,          9.443000,                    92.140798,      0.985000
                1595617740,           2020-07-24 19:09:00,           2020-07-24 19:09:00,      3.530000,     12.710000,          9.450000,                    92.190436,      0.985000
                1595618340,           2020-07-24 19:19:00,           2020-07-24 19:19:00,      3.530000,     12.789000,          9.426000,                    92.119759,      0.985000
                1595618940,           2020-07-24 19:29:00,           2020-07-24 19:29:00,      3.530000,     12.895000,          9.392000,                    92.006112,      0.984000
                1595619540,           2020-07-24 19:39:00,           2020-07-24 19:39:00,      3.530000,     12.912000,          9.392000,                    92.041187,      0.985000
                1595620140,           2020-07-24 19:49:00,           2020-07-24 19:49:00,      3.530000,     12.965000,          9.383000,                    92.062252,      0.984000
