Hydrolab DS5X 60804,,,,,,,,,
Log File Name : Myvatn_33_2014,,,,,,,,,
Setup Date (M/D/YYYY) : 6/8/2014,,,,,,,,,
Setup Time (HH:MM:SS) : 09:33:33,,,,,,,,,
Starting Date (M/D/YYYY) : 6/8/2014,,,,,,,,,
Starting Time (HH:MM:SS) : 10:00:00,,,,,,,,,
Stopping Date (M/D/YYYY) : 8/25/2014,,,,,,,,,
Stopping Time (HH:MM:SS) : 10:33:33,,,,,,,,,
Interval (HH:MM:SS) : 00:30:00,,,,,,,,,
Sensor warmup (HH:MM:SS) : 00:02:00,,,,,,,,,
Circltr warmup (HH:MM:SS) : 00:02:00,,,,,,,,,
,,,,,,,,,
Date,Time,Temp,SpCond,TurbSC,TurbSC,LDO%,LDO,PCYV,IBatt
M/D/YYYY,HH:MM:SS,?C,?S/cm,Volts,NTU,Sat,mg/l,Volts,%Left
,,,,,,,,,
6/8/14,10:30:00,23.26,0,-2.1964,0,0,0,0.003,100
6/8/14,11:00:00,23.66,0,-2.1726,18.2,0,0,0.0043,100
6/8/14,11:30:00,25.35,0,-2.1858,6.2,0,0,0.0027,100
6/8/14,12:00:00,23.44,0,-2.1958,0,0,0,0.005,100
6/8/14,12:30:00,14.49,171,-2.1972,0,0,0,0.0018,87
6/8/14,13:00:00,14.49,170,-2.1993,0,0,0,0.0422,81
6/8/14,13:30:00,14.57,170,-2.1971,0,0,0,0.0049,91
6/8/14,14:00:00,14.62,170,-2.1981,0,0,0,0.003,87
6/8/14,14:30:00,14.63,170,-2.201,0,0,0,0.0046,94
6/8/14,15:00:00,14.66,169,-2.1971,0,0,0,0.0049,94
6/8/14,15:30:00,14.67,169,-2.197,0,0,0,0.046,93
6/8/14,16:00:00,14.7,169,-2.1964,0,0,0,0.005,87
6/8/14,16:30:00,14.73,169,-2.197,0,0,0,0.0304,91
6/8/14,17:00:00,14.77,169,-2.1965,0,0,0,0.0018,93
6/8/14,17:30:00,14.8,168,-2.1971,0,0,0,0.0055,93
6/8/14,18:00:00,14.81,167,-2.1973,0,0,0,0.0022,87
6/8/14,18:30:00,14.82,167,-2.1974,0,0,0,0.0068,87
6/8/14,19:00:00,14.82,166,-2.1969,0,0,0,0.005,87
6/8/14,19:30:00,14.83,166,-2.1971,0,0,0,0.0042,87
6/8/14,20:00:00,14.82,166,-2.1972,0,0,0,0.0057,84
6/8/14,20:30:00,14.81,165,-2.197,0,0,0,0.0059,86
6/8/14,21:00:00,14.78,165,-2.1971,0,0,0,0.0054,89
6/8/14,21:30:00,14.79,165,-2.1972,0,0,0,0.0063,84
6/8/14,22:00:00,14.78,165,-2.197,0,0,0,0.0058,87
6/8/14,22:30:00,14.76,165,-2.1969,0,0,0,0.0061,84
6/8/14,23:00:00,14.73,163,-2.1972,0,0,0,0.0052,84
6/8/14,23:30:00,14.7,163,-2.197,0,0,0,0.0057,84
6/9/14,0:00:00,14.69,163,-2.1968,0,0,0,0.0052,89
6/9/14,0:30:00,14.68,163,-2.1973,0,0,0,0.0054,87
6/9/14,1:00:00,14.65,163,-2.1969,0,0,0,0.0054,86
6/9/14,1:30:00,14.66,164,-2.1966,0,0,0,0.006,87
6/9/14,2:00:00,14.6,162,-2.1971,0,0,0,0.005,87
6/9/14,2:30:00,14.56,160,-2.1973,0,0,0,0.0052,87
6/9/14,3:00:00,14.56,160,-2.1974,0,0,0,0.0059,86
6/9/14,3:30:00,14.56,157,-2.1969,0,0,0,0.0058,87
6/9/14,4:00:00,14.53,154,-2.1951,0,0,0,0.0046,86
