Hydrolab DS5X 60804
"Log File Name : Myvatn_33_May_2021"
"Setup Date (M/D/YYYY) : 5/17/2021"
"Setup Time (HH:MM:SS) : 19:02:23"
"Starting Date (M/D/YYYY) : 5/17/2021"
"Starting Time (HH:MM:SS) : 23:00:00"
"Stopping Date (M/D/YYYY) : 8/31/2021"
"Stopping Time (HH:MM:SS) : 20:02:23"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","%Left","","Volts",""

5/17/2021,23:00:00,"","22.06","","202","","-2.1994","","0.0","","12.9","","1.10","","739","","0.0038","","86","","11.4",""
5/18/2021,00:00:00,"","22.07","","202","","-2.1970","","0.0","","16.9","","1.43","","739","","0.0038","","86","","11.4",""
5/18/2021,01:00:00,"","22.08","","201","","-2.1990","","0.0","","17.2","","1.46","","739","","0.0038","","86","","11.4",""
5/18/2021,02:00:00,"","22.07","","202","","-2.1991","","0.0","","18.8","","1.59","","739","","0.0037","","86","","11.4",""
5/18/2021,03:00:00,"","22.05","","201","","-2.1999","","0.0","","18.9","","1.61","","739","","0.0037","","84","","11.4",""
5/18/2021,04:00:00,"","22.01","","201","","-2.1999","","0.0","","20.3","","1.72","","739","","0.0038","","84","","11.4",""
5/18/2021,05:00:00,"","21.98","","201","","-2.2022","","0.0","","20.7","","1.76","","739","","0.0039","","84","","11.3",""
5/18/2021,06:00:00,"","21.94","","201","","-2.2011","","0.0","","21.1","","1.80","","739","","0.0036","","84","","11.3",""
5/18/2021,07:00:00,"","21.90","","201","","-2.1999","","0.0","","21.3","","1.81","","739","","0.0037","","82","","11.2",""
5/18/2021,08:00:00,"","21.86","","201","","-2.2002","","0.0","","21.2","","1.81","","739","","0.0037","","82","","11.2",""
"Time changed from 051821 081332 to 051821 073733"
5/18/2021,08:00:00,"","21.93","","201","","-2.2002","","0.0","","20.8","","1.77","","739","","0.0038","","79","","11.1",""
5/18/2021,09:00:00,"","18.81","","198","","-2.2011","","0.0","","29.0","","2.62","","739","","0.0037","","84","","11.3",""
5/18/2021,10:00:00,"","11.16","","196","","-2.2048","","0.0","","30.0","","3.20","","739","","0.0038","","79","","11.1",""
5/18/2021,11:00:00,"","3.51","","136","","-2.2005","","0.0","","109.5","","14.14","","739","","0.0119","","68","","10.5",""
5/18/2021,12:00:00,"","3.55","","136","","-2.2006","","0.0","","109.0","","14.04","","739","","0.0098","","64","","10.4",""
5/18/2021,13:00:00,"","3.62","","137","","-2.2009","","0.0","","109.6","","14.10","","739","","0.0098","","63","","10.3",""
5/18/2021,14:00:00,"","3.67","","137","","-2.2009","","0.0","","109.9","","14.12","","739","","0.0106","","61","","10.2",""
5/18/2021,15:00:00,"","3.74","","139","","-2.2012","","0.0","","110.5","","14.17","","739","","0.0095","","64","","10.5",""
5/18/2021,16:00:00,"","3.78","","140","","-2.2016","","0.0","","110.9","","14.21","","739","","0.0095","","64","","10.4",""
5/18/2021,17:00:00,"","3.79","","141","","-2.2018","","0.0","","111.2","","14.25","","739","","0.0101","","68","","10.5",""
5/18/2021,18:00:00,"","3.69","","138","","-2.2014","","0.0","","111.3","","14.29","","739","","0.0110","","66","","10.4",""
5/18/2021,19:00:00,"","3.47","","134","","-2.1999","","0.0","","110.2","","14.24","","739","","0.0122","","68","","10.4",""
5/18/2021,20:00:00,"","3.36","","134","","-2.2012","","0.0","","110.1","","14.26","","739","","0.0139","","66","","10.4",""
5/18/2021,21:00:00,"","3.33","","135","","-2.2014","","0.0","","110.1","","14.28","","739","","0.0138","","69","","10.6",""
5/18/2021,22:00:00,"","3.34","","135","","-2.2010","","0.0","","110.1","","14.27","","739","","0.0134","","68","","10.5",""
5/18/2021,23:00:00,"","3.31","","136","","-2.2016","","0.0","","110.0","","14.27","","739","","0.0134","","68","","10.5",""
5/19/2021,00:00:00,"","3.36","","136","","-2.2008","","0.0","","109.6","","14.21","","739","","0.0132","","69","","10.5",""
5/19/2021,01:00:00,"","3.42","","137","","-2.2015","","0.0","","110.0","","14.23","","739","","0.0134","","68","","10.6",""
5/19/2021,02:00:00,"","3.40","","138","","-2.2017","","0.0","","109.7","","14.20","","739","","0.0123","","68","","10.5",""
5/19/2021,03:00:00,"","3.43","","140","","-2.2021","","0.0","","109.9","","14.21","","739","","0.0120","","66","","10.5",""
5/19/2021,04:00:00,"","3.43","","143","","-2.2016","","0.0","","110.4","","14.28","","739","","0.0121","","68","","10.6",""
5/19/2021,05:00:00,"","3.38","","144","","-2.2015","","0.0","","109.9","","14.22","","739","","0.0123","","68","","10.5",""
5/19/2021,06:00:00,"","3.35","","146","","-2.2021","","0.0","","110.1","","14.27","","739","","0.0121","","66","","10.4",""
5/19/2021,07:00:00,"","3.34","","146","","-2.2019","","0.0","","109.8","","14.23","","739","","0.0114","","68","","10.5",""
5/19/2021,08:00:00,"","3.37","","144","","-2.2028","","0.0","","109.8","","14.23","","739","","0.0104","","66","","10.4",""
5/19/2021,09:00:00,"","3.40","","143","","-2.2022","","0.0","","109.9","","14.22","","739","","0.0090","","66","","10.4",""
5/19/2021,10:00:00,"","3.45","","143","","-2.2022","","0.0","","110.2","","14.24","","739","","0.0087","","66","","10.4",""
5/19/2021,11:00:00,"","3.50","","143","","-2.2022","","0.0","","110.7","","14.29","","739","","0.0088","","64","","10.4",""
5/19/2021,12:00:00,"","3.54","","143","","-2.2022","","0.0","","111.2","","14.34","","739","","0.0018","","64","","10.4",""
