Hydrolab DS5X 60804
"Log File Name : Myvatn_33_July_2021"
"Setup Date (M/D/YYYY) : 7/18/2021"
"Setup Time (HH:MM:SS) : 11:34:48"
"Starting Date (M/D/YYYY) : 7/18/2021"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 9/1/2021"
"Stopping Time (HH:MM:SS) : 12:34:48"
"Interval (HH:MM:SS) : 00:30:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","%Left","","Volts",""

7/18/2021,12:00:00,"","14.83","","169","","-2.1949","","2.5","","122.7","","12.07","","739","","0.1411","","87","","11.4",""
7/18/2021,12:30:00,"","14.74","","169","","-2.1929","","2.2","","126.8","","12.49","","739","","0.1517","","87","","11.4",""
7/18/2021,13:00:00,"","14.75","","169","","-2.1970","","1.1","","128.4","","12.65","","739","","0.1509","","87","","11.4",""
7/18/2021,13:30:00,"","14.87","","170","","-2.1943","","2.2","","129.3","","12.70","","739","","0.1521","","86","","11.3",""
7/18/2021,14:00:00,"","15.06","","170","","-2.1940","","2.0","","130.6","","12.78","","739","","0.1490","","86","","11.4",""
7/18/2021,14:30:00,"","15.06","","170","","-2.1955","","1.9","","131.9","","12.90","","739","","0.1393","","86","","11.4",""
7/18/2021,15:00:00,"","15.04","","170","","-2.1922","","1.7","","132.1","","12.93","","739","","0.1478","","84","","11.3",""
7/18/2021,15:30:00,"","15.26","","172","","-2.1960","","1.8","","135.4","","13.19","","739","","0.1430","","82","","11.2",""
7/18/2021,16:00:00,"","14.99","","171","","-2.1909","","2.4","","134.0","","13.13","","739","","0.1452","","77","","11.1",""
7/18/2021,16:30:00,"","15.54","","172","","-2.1928","","2.3","","137.4","","13.31","","739","","0.1569","","81","","11.2",""
7/18/2021,17:00:00,"","15.21","","174","","-2.1918","","2.4","","132.1","","12.88","","739","","0.1599","","81","","11.1",""
7/18/2021,17:30:00,"","15.94","","173","","-2.1959","","1.8","","134.2","","12.89","","739","","0.1419","","81","","11.1",""
7/18/2021,18:00:00,"","16.57","","174","","-2.1945","","2.2","","135.4","","12.83","","739","","0.1615","","81","","11.2",""
7/18/2021,18:30:00,"","16.54","","175","","-2.1944","","2.5","","134.5","","12.74","","739","","0.1566","","84","","11.3",""
7/18/2021,19:00:00,"","16.45","","175","","-2.1927","","2.7","","135.7","","12.89","","739","","0.1634","","81","","11.1",""
7/18/2021,19:30:00,"","16.15","","174","","-2.1929","","2.5","","132.0","","12.62","","739","","0.1554","","79","","11.1",""
7/18/2021,20:00:00,"","16.00","","174","","-2.1943","","2.1","","130.2","","12.49","","739","","0.1501","","74","","10.8",""
7/18/2021,20:30:00,"","15.97","","174","","-2.1958","","2.0","","130.2","","12.49","","739","","0.1518","","74","","10.8",""
7/18/2021,21:00:00,"","15.98","","172","","-2.1954","","2.4","","130.5","","12.52","","739","","0.1533","","76","","10.8",""
7/18/2021,21:30:00,"","15.93","","171","","-2.1905","","2.2","","129.3","","12.41","","739","","0.1500","","76","","10.9",""
7/18/2021,22:00:00,"","16.00","","171","","-2.1946","","2.2","","130.5","","12.52","","739","","0.1566","","76","","10.9",""
7/18/2021,22:30:00,"","15.97","","171","","-2.1907","","2.6","","130.5","","12.52","","739","","0.1573","","76","","10.8",""
7/18/2021,23:00:00,"","15.97","","171","","-2.1945","","2.3","","130.0","","12.47","","739","","0.1557","","76","","10.9",""
7/18/2021,23:30:00,"","15.93","","171","","-2.1937","","2.3","","128.7","","12.36","","739","","0.1484","","77","","10.9",""
7/19/2021,00:00:00,"","15.91","","170","","-2.1879","","2.1","","127.7","","12.27","","739","","0.1424","","76","","10.9",""
7/19/2021,00:30:00,"","15.91","","170","","-2.1950","","3.0","","128.3","","12.33","","739","","0.1546","","76","","10.9",""
7/19/2021,01:00:00,"","15.88","","170","","-2.1933","","2.0","","127.5","","12.25","","739","","0.1499","","72","","10.9",""
7/19/2021,01:30:00,"","15.80","","170","","-2.1948","","2.0","","125.8","","12.11","","739","","0.1507","","74","","10.8",""
7/19/2021,02:00:00,"","15.62","","169","","-2.1949","","1.8","","123.1","","11.90","","739","","0.1397","","72","","10.6",""
7/19/2021,02:30:00,"","15.47","","168","","-2.1937","","2.0","","120.0","","11.64","","739","","0.1390","","68","","10.8",""
7/19/2021,03:00:00,"","15.41","","169","","-2.1944","","1.8","","118.1","","11.47","","739","","0.1350","","72","","10.7",""
7/19/2021,03:30:00,"","15.38","","169","","-2.1984","","1.9","","117.2","","11.39","","739","","0.1364","","68","","10.8",""
7/19/2021,04:00:00,"","15.38","","169","","-2.1936","","2.0","","115.9","","11.26","","739","","0.1327","","74","","10.7",""
7/19/2021,04:30:00,"","15.37","","169","","-2.1947","","1.9","","115.3","","11.20","","739","","0.1359","","68","","10.5",""
7/19/2021,05:00:00,"","15.36","","170","","-2.1937","","2.2","","115.6","","11.24","","739","","0.1445","","71","","10.6",""
7/19/2021,05:30:00,"","15.36","","169","","-2.1936","","2.0","","114.7","","11.15","","739","","0.1391","","71","","10.6",""
7/19/2021,06:00:00,"","15.34","","170","","-2.1915","","1.8","","114.4","","11.13","","739","","0.1392","","72","","10.4",""
7/19/2021,06:30:00,"","15.35","","170","","-2.1930","","2.2","","113.5","","11.04","","739","","0.1367","","68","","10.5",""
7/19/2021,07:00:00,"","15.32","","169","","-2.1939","","2.0","","114.6","","11.15","","739","","0.1449","","69","","10.4",""
7/19/2021,07:30:00,"","15.34","","170","","-2.1930","","2.0","","113.8","","11.07","","739","","0.1389","","66","","10.4",""
