Hydrolab DS5X 60804
"Log File Name : Myvatn_33_MAY_2019"
"Setup Date (M/D/YYYY) : 5/24/2019"
"Setup Time (HH:MM:SS) : 17:42:33"
"Starting Date (M/D/YYYY) : 5/24/2019"
"Starting Time (HH:MM:SS) : 17:42:33"
"Stopping Date (M/D/YYYY) : 8/24/2019"
"Stopping Time (HH:MM:SS) : 18:42:33"
"Interval (HH:MM:SS) : 00:30:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","%Left","","Volts",""

5/24/2019,18:12:33,"","21.84","","158","","-2.1953","","1.3","","95.0","","8.13","","742","","0.0039","","93","","11.7",""
5/24/2019,18:42:33,"","21.74","","158","","-2.1932","","3.0","","94.9","","8.13","","742","","0.0048","","93","","11.7",""
5/24/2019,19:12:33,"","21.67","","158","","-2.1742","","15.4","","94.0","","8.07","","742","","0.0042","","93","","11.6",""
5/24/2019,19:42:33,"","21.61","","158","","-2.1946","","1.2","","93.5","","8.03","","742","","0.0042","","91","","11.5",""
5/24/2019,20:12:33,"","21.57","","158","","-2.1962","","0.5","","93.3","","8.02","","742","","0.0043","","89","","11.5",""
5/24/2019,20:42:33,"","21.52","","158","","-2.1978","","0.0","","93.3","","8.03","","742","","0.0041","","89","","11.5",""
5/24/2019,21:12:33,"","21.46","","158","","-2.1961","","0.0","","92.8","","8.00","","742","","0.0043","","89","","11.5",""
5/24/2019,21:42:33,"","21.40","","158","","-2.1984","","0.0","","92.9","","8.01","","742","","0.0043","","87","","11.4",""
5/24/2019,22:12:33,"","21.36","","158","","-2.1986","","0.0","","92.7","","8.01","","742","","0.0043","","87","","11.4",""
5/24/2019,22:42:33,"","21.32","","158","","-2.1980","","0.0","","92.4","","7.98","","742","","0.0044","","86","","11.4",""
5/24/2019,23:12:33,"","21.28","","158","","-2.1985","","0.0","","92.3","","7.98","","742","","0.0046","","86","","11.4",""
5/24/2019,23:42:33,"","21.23","","158","","-2.1980","","0.0","","92.2","","7.98","","742","","0.0043","","86","","11.4",""
5/25/2019,00:12:33,"","21.17","","158","","-2.1993","","0.0","","92.5","","8.01","","742","","0.0044","","86","","11.4",""
5/25/2019,00:42:33,"","21.14","","158","","-2.1978","","0.0","","92.6","","8.03","","742","","0.0045","","86","","11.4",""
5/25/2019,01:12:33,"","21.08","","158","","-2.1986","","0.0","","92.5","","8.03","","742","","0.0044","","84","","11.3",""
5/25/2019,01:42:33,"","21.05","","157","","-2.1979","","0.0","","92.0","","7.99","","742","","0.0044","","84","","11.3",""
5/25/2019,02:12:33,"","21.00","","157","","-2.1987","","0.0","","92.2","","8.01","","742","","0.0044","","84","","11.3",""
5/25/2019,02:42:33,"","20.97","","157","","-2.1988","","0.0","","92.0","","8.00","","742","","0.0045","","84","","11.3",""
5/25/2019,03:12:33,"","20.92","","157","","-2.1988","","0.0","","92.2","","8.03","","742","","0.0049","","82","","11.2",""
5/25/2019,03:42:33,"","20.88","","157","","-2.1979","","0.0","","92.1","","8.02","","742","","0.0050","","82","","11.2",""
5/25/2019,04:12:33,"","20.85","","157","","-2.1991","","0.0","","92.0","","8.03","","742","","0.0047","","82","","11.2",""
5/25/2019,04:42:33,"","20.82","","157","","-2.1989","","0.0","","92.0","","8.03","","742","","0.0048","","82","","11.2",""
5/25/2019,05:12:33,"","20.79","","157","","-2.1991","","0.0","","92.0","","8.03","","742","","0.0048","","82","","11.2",""
5/25/2019,05:42:33,"","20.76","","158","","-2.1992","","0.0","","91.8","","8.02","","742","","0.0047","","82","","11.2",""
5/25/2019,06:12:33,"","20.75","","157","","-2.2006","","0.0","","91.7","","8.01","","742","","0.0047","","82","","11.1",""
5/25/2019,06:42:33,"","20.75","","157","","-2.1983","","0.0","","91.7","","8.02","","742","","0.0046","","81","","11.1",""
5/25/2019,07:12:33,"","20.75","","157","","-2.1994","","0.0","","91.9","","8.03","","742","","0.0049","","81","","11.1",""
5/25/2019,07:42:33,"","20.75","","157","","-2.1994","","0.0","","91.8","","8.02","","742","","0.0047","","82","","11.1",""
5/25/2019,08:12:33,"","20.77","","157","","-2.1983","","0.0","","91.8","","8.02","","742","","0.0047","","81","","11.1",""
5/25/2019,08:42:33,"","20.71","","158","","-2.1989","","0.0","","91.6","","8.01","","742","","0.0050","","81","","11.1",""
5/25/2019,09:12:33,"","20.72","","157","","-2.1993","","0.0","","91.8","","8.02","","742","","0.0049","","81","","11.1",""
5/25/2019,09:42:33,"","20.78","","157","","-2.1991","","0.0","","91.6","","8.00","","742","","0.0048","","81","","11.1",""
5/25/2019,10:12:33,"","20.86","","157","","-2.1991","","0.0","","91.8","","8.00","","742","","0.0049","","79","","11.1",""
5/25/2019,10:42:33,"","20.99","","157","","-2.1988","","0.0","","92.2","","8.02","","742","","0.0047","","81","","11.1",""
5/25/2019,11:12:33,"","21.11","","158","","-2.1981","","0.0","","91.8","","7.97","","742","","0.0049","","79","","11.1",""
5/25/2019,11:42:33,"","21.23","","157","","-2.1983","","0.0","","92.2","","7.98","","742","","0.0049","","81","","11.1",""
5/25/2019,12:12:33,"","21.36","","157","","-2.1989","","0.0","","92.3","","7.97","","742","","0.0046","","81","","11.1",""
5/25/2019,12:42:33,"","21.51","","157","","-2.1992","","0.0","","92.7","","7.98","","742","","0.0046","","79","","11.1",""
5/25/2019,13:12:33,"","21.63","","157","","-2.1987","","0.0","","92.9","","7.98","","742","","0.0047","","79","","11.1",""
5/25/2019,13:42:33,"","21.75","","158","","-2.1993","","0.0","","92.9","","7.96","","742","","0.0047","","79","","11.1",""
