Hydrolab DS5X 60804
"Log File Name : Myvatn_33_2015_2"
"Setup Date (M/D/YYYY) : 7/26/2015"
"Setup Time (HH:MM:SS) : 09:33:11"
"Starting Date (M/D/YYYY) : 7/26/2015"
"Starting Time (HH:MM:SS) : 09:12:11"
"Stopping Date (M/D/YYYY) : 8/31/2015"
"Stopping Time (HH:MM:SS) : 10:12:11"
"Interval (HH:MM:SS) : 00:30:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","PCYV","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","Volts","","%Left",""

7/26/2015,09:42:11,"","23.21","","176","","-2.1942","","2.1","","0.0","","0.00","","0.0508","","82",""
7/26/2015,10:12:11,"","23.50","","176","","-2.1941","","2.2","","0.0","","0.00","","0.0505","","79",""
7/26/2015,10:42:11,"","23.80","","176","","-2.1944","","2.2","","0.0","","0.00","","0.0503","","76",""
7/26/2015,11:12:11,"","24.03","","176","","-2.1942","","2.2","","0.0","","0.00","","0.0503","","74",""
7/26/2015,11:42:11,"","24.25","","176","","-2.1940","","2.2","","0.0","","0.00","","0.0500","","71",""
7/26/2015,12:12:11,"","24.49","","176","","-2.1944","","2.1","","0.0","","0.00","","0.0498","","68",""
7/26/2015,12:42:11,"","24.71","","177","","-2.1946","","2.1","","0.0","","0.00","","0.0504","","66",""
7/26/2015,13:12:11,"","24.87","","177","","-2.1947","","2.0","","0.0","","0.00","","0.0494","","64",""
7/26/2015,13:42:11,"","25.03","","177","","-2.1944","","2.1","","0.0","","0.00","","0.0496","","63",""
7/26/2015,14:12:11,"","25.19","","177","","-2.1945","","2.0","","0.0","","0.00","","0.0494","","63",""
7/26/2015,14:42:11,"","25.12","","177","","-2.1967","","0.6","","0.0","","0.00","","0.0499","","64",""
7/26/2015,15:12:11,"","24.94","","177","","-2.1970","","0.4","","0.0","","0.00","","0.0501","","66",""
7/26/2015,15:42:11,"","24.42","","177","","-2.1967","","0.6","","0.0","","0.00","","0.0505","","68",""
7/26/2015,16:12:11,"","9.82","","160","","-2.1539","","27.3","","141.9","","13.38","","0.1720","","68",""
7/26/2015,16:42:11,"","9.74","","160","","-2.1656","","20.0","","143.9","","13.59","","0.2472","","66",""
7/26/2015,17:12:11,"","9.75","","159","","-2.1514","","28.9","","144.7","","13.65","","0.2239","","66",""
7/26/2015,17:42:11,"","9.76","","159","","-2.1500","","29.7","","144.1","","13.60","","0.1802","","66",""
7/26/2015,18:12:11,"","9.77","","159","","-2.1684","","18.2","","144.4","","13.62","","0.1982","","66",""
7/26/2015,18:42:11,"","9.86","","159","","-2.1662","","19.7","","146.5","","13.79","","0.1940","","64",""
7/26/2015,19:12:11,"","9.86","","160","","-2.1566","","25.6","","146.5","","13.79","","0.1942","","64",""
7/26/2015,19:42:11,"","9.80","","159","","-2.1748","","14.3","","145.2","","13.69","","0.1868","","64",""
7/26/2015,20:12:11,"","9.78","","158","","-2.0167","","112.8","","144.9","","13.67","","0.1881","","64",""
7/26/2015,20:42:11,"","9.77","","158","","-2.1696","","17.5","","144.6","","13.64","","0.2277","","63",""
7/26/2015,21:12:11,"","9.80","","159","","-2.1926","","3.2","","145.7","","13.74","","0.1399","","63",""
7/26/2015,21:42:11,"","9.76","","159","","-2.1683","","18.3","","143.4","","13.53","","0.1164","","64",""
7/26/2015,22:12:11,"","9.72","","159","","-2.1463","","32.0","","143.3","","13.53","","0.1521","","63",""
7/26/2015,22:42:11,"","9.82","","160","","-2.1617","","22.4","","143.9","","13.56","","0.1957","","63",""
7/26/2015,23:12:11,"","9.79","","160","","-2.1395","","36.2","","143.9","","13.57","","0.2178","","63",""
7/26/2015,23:42:11,"","9.73","","159","","-2.1453","","32.6","","142.9","","13.49","","0.2560","","61",""
7/27/2015,00:12:11,"","9.66","","159","","-2.1594","","23.9","","141.1","","13.34","","0.2156","","61",""
7/27/2015,00:42:11,"","9.63","","158","","-2.1560","","26.0","","140.8","","13.33","","0.1649","","61",""
7/27/2015,01:12:11,"","9.63","","158","","-2.1561","","25.9","","141.3","","13.37","","0.1712","","58",""
7/27/2015,01:42:11,"","9.63","","157","","-2.1709","","16.7","","141.1","","13.36","","0.2521","","58",""
7/27/2015,02:12:11,"","9.61","","157","","-2.1529","","27.9","","141.6","","13.41","","0.2163","","61",""
7/27/2015,02:42:11,"","9.60","","157","","-2.1692","","17.8","","141.0","","13.36","","0.2124","","61",""
7/27/2015,03:12:11,"","9.61","","158","","-2.0883","","68.1","","140.8","","13.34","","0.2198","","58",""
7/27/2015,03:42:11,"","9.63","","157","","-2.1566","","25.6","","140.5","","13.30","","0.1568","","55",""
7/27/2015,04:12:11,"","9.64","","157","","-1.7945","","251.2","","140.9","","13.34","","0.2331","","60",""
7/27/2015,04:42:11,"","9.63","","157","","-2.1675","","18.8","","141.0","","13.34","","0.1570","","60",""
7/27/2015,05:12:11,"","9.60","","157","","-2.1795","","11.3","","139.5","","13.21","","0.1647","","60",""
7/27/2015,05:42:11,"","9.60","","157","","-2.0668","","81.5","","139.5","","13.21","","0.1244","","60",""
7/27/2015,06:12:11,"","9.56","","156","","-2.1616","","22.5","","137.9","","13.08","","0.1228","","60",""
7/27/2015,06:42:11,"","9.55","","156","","-2.1926","","3.2","","138.0","","13.08","","0.1519","","58",""
7/27/2015,07:12:11,"","9.54","","155","","-2.1961","","1.0","","137.3","","13.03","","0.0876","","58",""
7/27/2015,07:42:11,"","9.49","","154","","-2.1790","","11.7","","138.6","","13.16","","0.1277","","60",""
7/27/2015,08:12:11,"","9.46","","154","","-2.0793","","73.7","","139.9","","13.29","","0.1226","","58",""
7/27/2015,08:42:11,"","9.44","","154","","-2.1150","","51.5","","139.3","","13.24","","0.1337","","60",""
7/27/2015,09:12:11,"","9.41","","153","","-2.1899","","4.9","","138.4","","13.17","","0.1373","","58",""
7/27/2015,09:42:11,"","9.40","","153","","-2.1803","","10.8","","136.6","","13.00","","0.0620","","60",""
7/27/2015,10:12:11,"","9.37","","153","","-2.1952","","1.6","","136.7","","13.02","","0.0811","","58",""
7/27/2015,10:42:11,"","9.37","","153","","-2.1873","","6.5","","138.0","","13.15","","0.0671","","58",""
7/27/2015,11:12:11,"","9.35","","153","","-2.1911","","4.1","","136.3","","12.98","","0.0943","","58",""
7/27/2015,11:42:11,"","9.35","","153","","-2.1931","","2.9","","137.1","","13.07","","0.0708","","58",""
7/27/2015,12:12:11,"","9.33","","154","","-2.1510","","29.1","","137.6","","13.12","","0.1014","","58",""
7/27/2015,12:42:11,"","9.31","","154","","-2.1672","","19.0","","137.4","","13.11","","0.1370","","58",""
7/27/2015,13:12:11,"","9.32","","154","","-2.1809","","10.5","","137.0","","13.07","","0.0556","","58",""
7/27/2015,13:42:11,"","9.34","","155","","-2.1594","","23.8","","136.8","","13.04","","0.0290","","58",""
7/27/2015,14:12:11,"","9.36","","155","","-2.1968","","0.6","","138.3","","13.18","","0.0535","","58",""
7/27/2015,14:42:11,"","9.73","","156","","-2.1720","","16.0","","142.0","","13.41","","0.1411","","60",""
7/27/2015,15:12:11,"","10.10","","156","","-2.1590","","24.1","","146.2","","13.69","","0.2202","","58",""
7/27/2015,15:42:11,"","10.19","","157","","-2.1561","","25.9","","148.0","","13.82","","0.1871","","58",""
7/27/2015,16:12:11,"","10.18","","156","","-2.1591","","24.0","","147.3","","13.76","","0.2055","","58",""
7/27/2015,16:42:11,"","10.19","","157","","-2.1627","","21.8","","147.4","","13.77","","2.0993","","57",""
7/27/2015,17:12:11,"","10.16","","157","","-2.1532","","27.7","","146.0","","13.65","","0.1696","","55",""
7/27/2015,17:42:11,"","10.18","","157","","-2.1671","","19.0","","145.8","","13.61","","0.1200","","54",""
7/27/2015,18:12:11,"","10.13","","157","","-2.1597","","23.7","","144.3","","13.49","","0.1191","","50",""
7/27/2015,18:42:11,"","10.01","","157","","-2.1774","","12.6","","143.8","","13.49","","0.1120","","52",""
7/27/2015,19:12:11,"","10.05","","157","","-2.1829","","9.4","","143.3","","13.43","","0.0918","","51",""
7/27/2015,19:42:11,"","10.07","","158","","-2.1610","","22.9","","142.7","","13.36","","0.0986","","58",""
7/27/2015,20:12:11,"","10.09","","158","","-2.1794","","9.7","","142.5","","13.34","","0.0946","","57",""
7/27/2015,20:42:11,"","10.10","","158","","-2.1668","","19.3","","141.7","","13.26","","0.0776","","52",""
7/27/2015,21:12:11,"","10.06","","158","","-2.1811","","10.5","","140.8","","13.19","","0.0830","","54",""
7/27/2015,21:42:11,"","9.99","","158","","-2.1661","","19.7","","140.0","","13.14","","0.1771","","57",""
7/27/2015,22:12:11,"","9.96","","158","","-2.1794","","11.4","","140.6","","13.20","","0.0911","","52",""
7/27/2015,22:42:11,"","9.98","","157","","-2.1785","","12.0","","140.9","","13.23","","0.0988","","38",""
7/27/2015,23:12:11,"","10.00","","157","","-2.1751","","14.1","","140.7","","13.20","","0.0890","","44",""
7/27/2015,23:42:11,"","10.01","","157","","-2.1858","","7.4","","140.9","","13.21","","0.0984","","37",""
7/28/2015,00:12:11,"","10.06","","155","","-2.1787","","11.8","","140.3","","13.15","","0.1231","","40",""
7/28/2015,00:42:11,"","10.07","","155","","-2.1127","","53.0","","140.4","","13.15","","0.0904","","41",""
7/28/2015,01:12:11,"","10.09","","155","","-2.1739","","14.9","","139.4","","13.06","","0.1187","","40",""
7/28/2015,01:42:11,"","10.09","","155","","-2.1870","","6.7","","139.2","","13.04","","0.1138","","45",""
7/28/2015,02:12:11,"","10.09","","155","","-2.1846","","8.2","","138.9","","13.00","","0.1169","","47",""
7/28/2015,02:42:11,"","10.08","","156","","-2.1621","","22.2","","138.7","","12.98","","0.1155","","51",""
7/28/2015,03:12:11,"","10.06","","156","","-2.1717","","16.2","","137.4","","12.87","","0.1477","","50",""
7/28/2015,03:42:11,"","10.07","","156","","-2.1780","","12.2","","137.4","","12.87","","0.1030","","50",""
7/28/2015,04:12:11,"","10.04","","157","","-2.1460","","32.2","","136.6","","12.81","","0.1084","","48",""
7/28/2015,04:42:11,"","10.02","","157","","-2.1742","","14.7","","136.4","","12.80","","0.1451","","50",""
7/28/2015,05:12:11,"","10.00","","157","","-2.1505","","29.4","","135.8","","12.74","","0.1025","","44",""
7/28/2015,05:42:11,"","9.99","","158","","-2.1633","","21.5","","135.8","","12.74","","0.0983","","50",""
"Power loss from 010170 000000 to 072815 061010"
7/28/2015,06:12:11,"","9.98","","157","","-2.1244","","45.7","","136.5","","12.81","","0.1033","","42",""
7/28/2015,06:42:11,"","9.98","","158","","-2.1640","","21.0","","136.3","","12.80","","0.0989","","42",""
7/28/2015,07:12:11,"","9.97","","158","","-2.1861","","7.2","","136.4","","12.80","","0.0886","","48",""
7/28/2015,07:42:11,"","9.96","","158","","-2.1964","","0.8","","136.6","","12.82","","0.1496","","52",""
7/28/2015,08:12:11,"","9.96","","158","","-2.1894","","5.2","","137.5","","12.92","","0.0978","","55",""
7/28/2015,08:42:11,"","9.95","","159","","-2.1923","","3.4","","137.9","","12.96","","0.1350","","54",""
7/28/2015,09:12:11,"","9.96","","160","","-2.1839","","8.6","","138.3","","12.99","","0.1039","","54",""
7/28/2015,09:42:11,"","10.04","","160","","-2.1787","","11.9","","141.2","","13.23","","0.1847","","52",""
7/28/2015,10:12:11,"","10.05","","159","","-2.1776","","12.5","","141.9","","13.30","","0.1873","","52",""
7/28/2015,10:42:11,"","10.11","","158","","-2.1459","","32.3","","144.1","","13.49","","0.1952","","50",""
7/28/2015,11:12:11,"","10.13","","157","","-2.1526","","28.1","","144.4","","13.51","","0.1962","","51",""
7/28/2015,11:42:11,"","10.11","","158","","-2.1400","","36.0","","143.7","","13.45","","0.2330","","47",""
7/28/2015,12:12:11,"","10.14","","158","","-2.1339","","39.8","","142.7","","13.35","","0.1381","","48",""
7/28/2015,12:42:11,"","10.14","","158","","-2.1612","","22.7","","142.6","","13.33","","0.1705","","52",""
7/28/2015,13:12:11,"","10.16","","158","","-2.1893","","5.3","","143.9","","13.45","","0.1881","","52",""
7/28/2015,13:42:11,"","10.18","","158","","-2.1924","","3.3","","145.2","","13.56","","0.1171","","54",""
7/28/2015,14:12:11,"","10.19","","157","","-2.1642","","20.8","","145.1","","13.55","","0.1134","","52",""
7/28/2015,14:42:11,"","10.20","","157","","-2.1891","","5.4","","145.3","","13.57","","0.0695","","52",""
7/28/2015,15:12:11,"","10.24","","157","","-2.1404","","35.7","","146.6","","13.68","","0.0806","","52",""
7/28/2015,15:42:11,"","10.25","","158","","-2.1575","","25.0","","146.2","","13.64","","0.0859","","52",""
7/28/2015,16:12:11,"","10.36","","160","","-2.1784","","10.3","","147.7","","13.74","","0.0875","","52",""
7/28/2015,16:42:11,"","10.44","","161","","-2.1834","","16.8","","146.1","","13.57","","0.0625","","45",""
"Power loss from 010170 000000 to 072815 171045"
"Late probe turn on at 072815 171045"
"Power loss from 010170 000000 to 072815 171058"
"Late probe turn on at 072815 171058"
7/28/2015,17:12:11,"","10.41","","161","","-2.1755","","9.9","","144.0","","13.38","","0.0897","","38",""
7/28/2015,17:42:11,"","10.80","","160","","-2.1081","","55.8","","152.6","","14.05","","0.1998","","40",""
7/28/2015,18:12:11,"","10.65","","161","","-2.1605","","23.2","","150.1","","13.87","","0.1676","","44",""
"Power loss from 010170 000000 to 072815 184010"
7/28/2015,18:42:11,"","10.56","","161","","-2.1713","","16.5","","147.6","","13.67","","0.1510","","50",""
7/28/2015,19:12:11,"","10.53","","161","","-2.1691","","17.8","","146.5","","13.57","","0.1474","","51",""
7/28/2015,19:42:11,"","10.53","","161","","-2.1537","","27.4","","145.5","","13.48","","0.1314","","45",""
7/28/2015,20:12:11,"","10.53","","161","","-2.1760","","13.5","","144.1","","13.35","","0.0965","","24",""
7/28/2015,20:42:11,"","10.53","","160","","-2.1839","","8.6","","143.5","","13.30","","0.0871","","48",""
7/28/2015,21:12:11,"","10.53","","160","","-2.1850","","7.9","","142.9","","13.24","","0.0743","","54",""
7/28/2015,21:42:11,"","10.50","","161","","-2.1908","","4.3","","142.0","","13.17","","0.0726","","29",""
7/28/2015,22:12:11,"","10.51","","160","","-2.1665","","19.5","","142.0","","13.17","","0.0955","","36",""
7/28/2015,22:42:11,"","10.48","","161","","-2.1802","","10.9","","141.0","","13.08","","0.0914","","47",""
7/28/2015,23:12:11,"","10.46","","160","","-2.1703","","17.0","","141.3","","13.12","","0.0899","","40",""
7/28/2015,23:42:11,"","10.41","","161","","-2.1773","","12.7","","140.2","","13.03","","0.0951","","40",""
7/29/2015,00:12:11,"","10.33","","161","","-2.1737","","15.0","","140.1","","13.04","","0.1108","","40",""
7/29/2015,00:42:11,"","10.25","","161","","-2.1790","","11.7","","140.0","","13.06","","0.1254","","45",""
7/29/2015,01:12:11,"","10.21","","161","","-2.1728","","15.5","","140.1","","13.08","","0.1143","","40",""
7/29/2015,01:42:11,"","10.19","","161","","-2.1753","","14.0","","140.4","","13.11","","0.1672","","37",""
7/29/2015,02:12:11,"","10.18","","161","","-2.1827","","9.3","","141.0","","13.17","","0.0964","","47",""
7/29/2015,02:42:11,"","10.16","","161","","-2.1876","","6.3","","140.5","","13.13","","0.0927","","48",""
7/29/2015,03:12:11,"","10.13","","161","","-2.1896","","4.6","","139.9","","13.08","","0.0978","","48",""
7/29/2015,03:42:11,"","10.07","","161","","-2.0789","","74.0","","139.8","","13.09","","0.0933","","50",""
7/29/2015,04:12:11,"","10.04","","161","","-2.1523","","28.3","","139.5","","13.07","","0.1082","","48",""
7/29/2015,04:42:11,"","10.02","","161","","-2.1536","","27.5","","139.6","","13.09","","0.1176","","50",""
7/29/2015,05:12:11,"","9.98","","161","","-2.1714","","16.4","","139.4","","13.08","","0.1291","","50",""
7/29/2015,05:42:11,"","9.98","","160","","-2.1895","","5.1","","139.0","","13.05","","0.1295","","45",""
7/29/2015,06:12:11,"","9.95","","160","","-2.1816","","10.0","","139.0","","13.05","","0.0931","","47",""
7/29/2015,06:42:11,"","9.92","","160","","-2.1925","","3.2","","138.3","","13.00","","0.2517","","47",""
7/29/2015,07:12:11,"","9.90","","160","","-2.1703","","17.1","","137.4","","12.92","","0.1352","","47",""
7/29/2015,07:42:11,"","9.89","","159","","-2.1641","","20.9","","138.0","","12.99","","0.1069","","47",""
7/29/2015,08:12:11,"","9.89","","159","","-2.1840","","8.5","","138.7","","13.05","","0.0739","","47",""
7/29/2015,08:42:11,"","9.90","","159","","-2.1121","","53.3","","138.8","","13.05","","0.4286","","41",""
7/29/2015,09:12:11,"","9.92","","159","","-2.1952","","1.5","","137.7","","12.95","","0.0658","","44",""
7/29/2015,09:42:11,"","9.93","","159","","-2.1903","","4.1","","139.0","","13.06","","0.0461","","42",""
7/29/2015,10:12:11,"","9.94","","159","","-2.1957","","1.3","","138.1","","12.97","","0.0917","","44",""
7/29/2015,10:42:11,"","9.95","","159","","-2.1901","","4.7","","137.8","","12.95","","0.0766","","42",""
7/29/2015,11:12:11,"","9.99","","159","","-2.1748","","14.3","","139.1","","13.05","","0.0792","","38",""
7/29/2015,11:42:11,"","10.03","","159","","-2.1680","","18.5","","140.3","","13.15","","0.0925","","47",""
7/29/2015,12:12:11,"","10.20","","159","","-2.1868","","6.8","","143.7","","13.41","","0.0930","","40",""
7/29/2015,12:42:11,"","10.54","","160","","-2.1659","","19.8","","146.5","","13.57","","0.1294","","37",""
7/29/2015,13:12:11,"","10.85","","160","","-2.1588","","24.3","","147.4","","13.56","","0.2426","","40",""
7/29/2015,13:42:11,"","10.76","","160","","-2.1355","","38.8","","145.7","","13.43","","0.1830","","41",""
7/29/2015,14:12:11,"","10.88","","160","","-2.1632","","21.5","","146.2","","13.44","","0.1680","","38",""
7/29/2015,14:42:11,"","10.96","","160","","-2.1608","","23.0","","147.2","","13.50","","0.2009","","18",""
7/29/2015,15:12:11,"","10.93","","160","","-2.1586","","24.4","","147.0","","13.50","","0.1823","","40",""
7/29/2015,15:42:11,"","11.10","","160","","-2.1624","","22.0","","148.3","","13.56","","0.1903","","41",""
7/29/2015,16:12:11,"","11.09","","160","","-2.1645","","21.6","","146.9","","13.43","","0.1744","","37",""
7/29/2015,16:42:11,"","11.07","","160","","-2.1614","","22.6","","145.9","","13.35","","0.1676","","29",""
7/29/2015,17:12:11,"","11.04","","160","","-2.0039","","120.7","","144.6","","13.24","","0.1417","","41",""
7/29/2015,17:42:11,"","10.95","","159","","-2.1604","","23.2","","143.2","","13.14","","0.1270","","41",""
7/29/2015,18:12:11,"","10.94","","159","","-2.1688","","18.0","","142.8","","13.10","","0.1029","","38",""
7/29/2015,18:42:11,"","10.88","","159","","-2.1728","","15.5","","142.1","","13.06","","0.1013","","45",""
7/29/2015,19:12:11,"","10.88","","160","","-2.1528","","28.0","","142.1","","13.06","","0.0960","","37",""
7/29/2015,19:42:11,"","10.88","","160","","-2.1847","","8.1","","142.4","","13.08","","0.1002","","40",""
7/29/2015,20:12:11,"","10.87","","159","","-2.1772","","12.8","","141.5","","13.00","","0.0998","","50",""
7/29/2015,20:42:11,"","10.89","","160","","-2.1694","","17.6","","142.3","","13.08","","0.1091","","44",""
7/29/2015,21:12:11,"","10.90","","159","","-2.1781","","12.2","","142.3","","13.07","","0.1042","","29",""
