Hydrolab DS5X 60804
"Log File Name : MYVATN_33_JUL_2022"
"Setup Date (M/D/YYYY) : 7/22/2022"
"Setup Time (HH:MM:SS) : 10:45:31"
"Starting Date (M/D/YYYY) : 7/22/2022"
"Starting Time (HH:MM:SS) : 11:30:00"
"Stopping Date (M/D/YYYY) : 8/25/2022"
"Stopping Time (HH:MM:SS) : 11:45:31"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","SpCond","","TurbSC","","TurbSC","","LDO%","","LDO","","BP","","PCYV","","IBatt","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","µS/cm","","Volts","","NTU","","Sat","","mg/l","","mmHg","","Volts","","%Left","","Volts",""

7/22/2022,11:30:00,"","13.29","","160","","-2.1975","","1.8","","129.2","","13.14","","739","","0.0592","","91","","11.5",""
7/22/2022,12:30:00,"","13.37","","160","","-2.1923","","0.8","","132.0","","13.40","","739","","0.0430","","89","","11.5",""
7/22/2022,13:30:00,"","13.37","","160","","-2.1963","","1.2","","131.5","","13.35","","739","","0.0365","","82","","11.2",""
7/22/2022,14:30:00,"","13.50","","161","","-2.1922","","1.8","","129.6","","13.11","","739","","0.0309","","86","","11.4",""
7/22/2022,15:30:00,"","13.98","","161","","-2.1889","","5.5","","135.2","","13.54","","739","","0.0524","","87","","11.2",""
7/22/2022,16:30:00,"","13.74","","159","","-2.1893","","3.1","","134.8","","13.58","","739","","0.0375","","82","","11.4",""
7/22/2022,17:30:00,"","13.81","","160","","-2.1948","","2.7","","135.2","","13.60","","739","","0.0497","","82","","11.2",""
7/22/2022,18:30:00,"","13.86","","162","","-2.1933","","3.2","","134.5","","13.51","","739","","0.0489","","84","","11.2",""
7/22/2022,19:30:00,"","13.83","","163","","-2.1939","","2.5","","134.4","","13.51","","739","","0.0564","","84","","11.1",""
7/22/2022,20:30:00,"","13.80","","162","","-2.1959","","3.5","","132.5","","13.33","","739","","0.0432","","81","","11.0",""
7/22/2022,21:30:00,"","13.82","","161","","-2.1955","","2.9","","131.2","","13.19","","739","","0.0478","","81","","11.1",""
7/22/2022,22:30:00,"","13.77","","161","","-2.1950","","2.6","","130.8","","13.17","","739","","0.0468","","84","","11.0",""
7/22/2022,23:30:00,"","13.69","","160","","-2.1951","","3.4","","129.1","","13.02","","739","","0.0386","","81","","11.1",""
7/23/2022,00:30:00,"","13.62","","160","","-2.1939","","2.7","","128.5","","12.98","","739","","0.0386","","77","","11.1",""
7/23/2022,01:30:00,"","13.61","","160","","-2.1987","","2.0","","127.9","","12.92","","739","","0.0477","","74","","10.9",""
7/23/2022,02:30:00,"","13.57","","160","","-2.1960","","1.9","","126.9","","12.83","","739","","0.0442","","79","","10.9",""
7/23/2022,03:30:00,"","13.57","","159","","-2.1945","","1.9","","126.5","","12.79","","739","","0.0390","","76","","10.9",""
7/23/2022,04:30:00,"","13.60","","156","","-2.1943","","1.7","","127.3","","12.85","","739","","0.0343","","76","","10.8",""
7/23/2022,05:30:00,"","13.54","","157","","-2.1977","","0.0","","125.8","","12.72","","739","","0.0438","","79","","11.1",""
7/23/2022,06:30:00,"","13.52","","158","","-2.1960","","1.1","","125.0","","12.65","","739","","0.0377","","79","","11.1",""
7/23/2022,07:30:00,"","13.49","","159","","-2.1980","","0.1","","124.7","","12.63","","739","","0.0435","","79","","11.1",""
7/23/2022,08:30:00,"","13.52","","160","","-2.1859","","7.3","","126.2","","12.77","","739","","0.0417","","79","","11.1",""
7/23/2022,09:30:00,"","13.55","","160","","-2.1981","","0.4","","127.7","","12.91","","739","","0.0433","","77","","11.0",""
7/23/2022,10:30:00,"","13.63","","160","","-2.1971","","0.0","","129.6","","13.08","","739","","0.0383","","79","","11.0",""
7/23/2022,11:30:00,"","13.63","","160","","-2.1901","","0.3","","131.3","","13.25","","739","","0.0844","","77","","11.0",""
7/23/2022,12:30:00,"","13.71","","160","","-2.1990","","0.0","","132.8","","13.38","","739","","0.0496","","77","","11.0",""
7/23/2022,13:30:00,"","13.80","","160","","-2.1919","","3.8","","133.9","","13.47","","739","","0.0344","","76","","10.8",""
7/23/2022,14:30:00,"","14.01","","159","","-2.1954","","1.6","","133.4","","13.35","","739","","0.1909","","76","","11.0",""
7/23/2022,15:30:00,"","14.74","","159","","-2.1877","","3.6","","138.5","","13.64","","739","","0.0556","","74","","10.8",""
7/23/2022,16:30:00,"","14.78","","160","","-2.1800","","11.0","","138.4","","13.62","","739","","0.0528","","69","","10.7",""
7/23/2022,17:30:00,"","14.65","","160","","-2.1928","","5.4","","139.0","","13.72","","739","","0.0476","","71","","10.7",""
7/23/2022,18:30:00,"","14.63","","160","","-2.1908","","4.0","","139.9","","13.81","","739","","0.0518","","71","","10.6",""
7/23/2022,19:30:00,"","14.64","","160","","-2.1904","","4.5","","139.6","","13.78","","739","","0.0549","","71","","10.9",""
7/23/2022,20:30:00,"","14.60","","161","","-2.1923","","4.0","","139.4","","13.78","","739","","0.0512","","71","","10.7",""
7/23/2022,21:30:00,"","14.50","","161","","-2.1907","","3.4","","137.7","","13.63","","739","","0.0508","","72","","10.6",""
7/23/2022,22:30:00,"","14.38","","161","","-2.1923","","3.9","","136.7","","13.58","","739","","0.0440","","71","","10.6",""
7/23/2022,23:30:00,"","14.31","","161","","-2.1954","","4.4","","135.3","","13.45","","739","","0.0501","","72","","10.5",""
7/24/2022,00:30:00,"","14.23","","161","","-2.1907","","4.3","","134.1","","13.36","","739","","0.0548","","68","","10.5",""
7/24/2022,01:30:00,"","14.19","","161","","-2.1855","","7.6","","133.5","","13.31","","739","","0.0548","","66","","10.4",""
7/24/2022,02:30:00,"","14.10","","161","","-2.1939","","4.7","","132.0","","13.18","","739","","0.0497","","61","","10.4",""
